from,intensity
2026-02-28T23:30Z,90
2026-03-01T00:00Z,83
2026-03-01T00:30Z,76
2026-03-01T01:00Z,67
2026-03-01T01:30Z,66
2026-03-01T02:00Z,58
2026-03-01T02:30Z,56
2026-03-01T03:00Z,53
2026-03-01T03:30Z,50
2026-03-01T04:00Z,49
2026-03-01T04:30Z,50
2026-03-01T05:00Z,48
2026-03-01T05:30Z,47
2026-03-01T06:00Z,45
2026-03-01T06:30Z,47
2026-03-01T07:00Z,46
2026-03-01T07:30Z,51
2026-03-01T08:00Z,47
2026-03-01T08:30Z,51
2026-03-01T09:00Z,47
2026-03-01T09:30Z,47
2026-03-01T10:00Z,48
2026-03-01T10:30Z,47
2026-03-01T11:00Z,46
2026-03-01T11:30Z,46
2026-03-01T12:00Z,46
2026-03-01T12:30Z,46
2026-03-01T13:00Z,43
2026-03-01T13:30Z,39
2026-03-01T14:00Z,39
2026-03-01T14:30Z,42
2026-03-01T15:00Z,44
2026-03-01T15:30Z,52
2026-03-01T16:00Z,60
2026-03-01T16:30Z,70
2026-03-01T17:00Z,73
2026-03-01T17:30Z,72
2026-03-01T18:00Z,68
2026-03-01T18:30Z,66
2026-03-01T19:00Z,64
2026-03-01T19:30Z,62
2026-03-01T20:00Z,61
2026-03-01T20:30Z,61
2026-03-01T21:00Z,61
2026-03-01T21:30Z,57
2026-03-01T22:00Z,50
2026-03-01T22:30Z,49
2026-03-01T23:00Z,46
2026-03-01T23:30Z,45
2026-03-02T00:00Z,47
2026-03-02T00:30Z,48
2026-03-02T01:00Z,45
2026-03-02T01:30Z,46
2026-03-02T02:00Z,47
2026-03-02T02:30Z,46
2026-03-02T03:00Z,45
2026-03-02T03:30Z,44
2026-03-02T04:00Z,50
2026-03-02T04:30Z,51
2026-03-02T05:00Z,55
2026-03-02T05:30Z,62
2026-03-02T06:00Z,71
2026-03-02T06:30Z,74
2026-03-02T07:00Z,78
2026-03-02T07:30Z,79
2026-03-02T08:00Z,80
2026-03-02T08:30Z,82
2026-03-02T09:00Z,76
2026-03-02T09:30Z,74
2026-03-02T10:00Z,70
2026-03-02T10:30Z,65
2026-03-02T11:00Z,59
2026-03-02T11:30Z,62
2026-03-02T12:00Z,65
2026-03-02T12:30Z,67
2026-03-02T13:00Z,66
2026-03-02T13:30Z,63
2026-03-02T14:00Z,69
2026-03-02T14:30Z,87
2026-03-02T15:00Z,102
2026-03-02T15:30Z,121
2026-03-02T16:00Z,136
2026-03-02T16:30Z,143
2026-03-02T17:00Z,152
2026-03-02T17:30Z,154
2026-03-02T18:00Z,150
2026-03-02T18:30Z,139
2026-03-02T19:00Z,134
2026-03-02T19:30Z,127
2026-03-02T20:00Z,126
2026-03-02T20:30Z,125
2026-03-02T21:00Z,115
2026-03-02T21:30Z,113
2026-03-02T22:00Z,115
2026-03-02T22:30Z,120
2026-03-02T23:00Z,127
2026-03-02T23:30Z,133
2026-03-03T00:00Z,142
2026-03-03T00:30Z,145
2026-03-03T01:00Z,146
2026-03-03T01:30Z,148
2026-03-03T02:00Z,147
2026-03-03T02:30Z,150
2026-03-03T03:00Z,154
2026-03-03T03:30Z,154
2026-03-03T04:00Z,164
2026-03-03T04:30Z,178
2026-03-03T05:00Z,188
2026-03-03T05:30Z,208
2026-03-03T06:00Z,214
2026-03-03T06:30Z,204
2026-03-03T07:00Z,205
2026-03-03T07:30Z,198
2026-03-03T08:00Z,189
2026-03-03T08:30Z,184
2026-03-03T09:00Z,173
2026-03-03T09:30Z,166
2026-03-03T10:00Z,164
2026-03-03T10:30Z,161
2026-03-03T11:00Z,161
2026-03-03T11:30Z,159
2026-03-03T12:00Z,159
2026-03-03T12:30Z,166
2026-03-03T13:00Z,172
2026-03-03T13:30Z,175
2026-03-03T14:00Z,179
2026-03-03T14:30Z,191
2026-03-03T15:00Z,207
2026-03-03T15:30Z,218
2026-03-03T16:00Z,227
2026-03-03T16:30Z,237
2026-03-03T17:00Z,242
2026-03-03T17:30Z,240
2026-03-03T18:00Z,234
2026-03-03T18:30Z,233
2026-03-03T19:00Z,224
2026-03-03T19:30Z,220
2026-03-03T20:00Z,208
2026-03-03T20:30Z,200
2026-03-03T21:00Z,183
2026-03-03T21:30Z,175
2026-03-03T22:00Z,159
2026-03-03T22:30Z,145
2026-03-03T23:00Z,137
2026-03-03T23:30Z,139
2026-03-04T00:00Z,143
2026-03-04T00:30Z,143
2026-03-04T01:00Z,146
2026-03-04T01:30Z,146
2026-03-04T02:00Z,144
2026-03-04T02:30Z,142
2026-03-04T03:00Z,144
2026-03-04T03:30Z,143
2026-03-04T04:00Z,151
2026-03-04T04:30Z,156
2026-03-04T05:00Z,164
2026-03-04T05:30Z,173
2026-03-04T06:00Z,178
2026-03-04T06:30Z,173
2026-03-04T07:00Z,173
2026-03-04T07:30Z,174
2026-03-04T08:00Z,174
2026-03-04T08:30Z,167
2026-03-04T09:00Z,157
2026-03-04T09:30Z,152
2026-03-04T10:00Z,139
2026-03-04T10:30Z,129
2026-03-04T11:00Z,120
2026-03-04T11:30Z,118
2026-03-04T12:00Z,114
2026-03-04T12:30Z,115
2026-03-04T13:00Z,115
2026-03-04T13:30Z,114
2026-03-04T14:00Z,118
2026-03-04T14:30Z,122
2026-03-04T15:00Z,141
2026-03-04T15:30Z,156
2026-03-04T16:00Z,169
2026-03-04T16:30Z,178
2026-03-04T17:00Z,189
2026-03-04T17:30Z,192
2026-03-04T18:00Z,187
2026-03-04T18:30Z,184
2026-03-04T19:00Z,171
2026-03-04T19:30Z,163
2026-03-04T20:00Z,153
2026-03-04T20:30Z,144
2026-03-04T21:00Z,131
2026-03-04T21:30Z,119
2026-03-04T22:00Z,100
2026-03-04T22:30Z,83
2026-03-04T23:00Z,76
2026-03-04T23:30Z,79
2026-03-05T00:00Z,76
2026-03-05T00:30Z,74
2026-03-05T01:00Z,67
2026-03-05T01:30Z,72
2026-03-05T02:00Z,67
2026-03-05T02:30Z,67
2026-03-05T03:00Z,67
2026-03-05T03:30Z,72
2026-03-05T04:00Z,74
2026-03-05T04:30Z,82
2026-03-05T05:00Z,92
2026-03-05T05:30Z,107
2026-03-05T06:00Z,123
2026-03-05T06:30Z,127
2026-03-05T07:00Z,136
2026-03-05T07:30Z,136
2026-03-05T08:00Z,140
2026-03-05T08:30Z,136
2026-03-05T09:00Z,131
2026-03-05T09:30Z,127
2026-03-05T10:00Z,121
2026-03-05T10:30Z,118
2026-03-05T11:00Z,109
2026-03-05T11:30Z,105
2026-03-05T12:00Z,106
2026-03-05T12:30Z,112
2026-03-05T13:00Z,114
2026-03-05T13:30Z,119
2026-03-05T14:00Z,129
2026-03-05T14:30Z,136
2026-03-05T15:00Z,152
2026-03-05T15:30Z,162
2026-03-05T16:00Z,170
2026-03-05T16:30Z,172
2026-03-05T17:00Z,180
2026-03-05T17:30Z,184
2026-03-05T18:00Z,183
2026-03-05T18:30Z,174
2026-03-05T19:00Z,172
2026-03-05T19:30Z,168
2026-03-05T20:00Z,159
2026-03-05T20:30Z,156
2026-03-05T21:00Z,152
2026-03-05T21:30Z,147
2026-03-05T22:00Z,147
2026-03-05T22:30Z,149
2026-03-05T23:00Z,154
2026-03-05T23:30Z,158
2026-03-06T00:00Z,162
2026-03-06T00:30Z,162
2026-03-06T01:00Z,160
2026-03-06T01:30Z,160
2026-03-06T02:00Z,153
2026-03-06T02:30Z,149
2026-03-06T03:00Z,145
2026-03-06T03:30Z,152
2026-03-06T04:00Z,160
2026-03-06T04:30Z,178
2026-03-06T05:00Z,194
2026-03-06T05:30Z,212
2026-03-06T06:00Z,230
2026-03-06T06:30Z,240
2026-03-06T07:00Z,246
2026-03-06T07:30Z,243
2026-03-06T08:00Z,245
2026-03-06T08:30Z,242
2026-03-06T09:00Z,241
2026-03-06T09:30Z,240
2026-03-06T10:00Z,240
2026-03-06T10:30Z,237
2026-03-06T11:00Z,236
2026-03-06T11:30Z,236
2026-03-06T12:00Z,231
2026-03-06T12:30Z,229
2026-03-06T13:00Z,226
2026-03-06T13:30Z,226
2026-03-06T14:00Z,219
2026-03-06T14:30Z,223
2026-03-06T15:00Z,225
2026-03-06T15:30Z,224
2026-03-06T16:00Z,224
2026-03-06T16:30Z,231
2026-03-06T17:00Z,233
2026-03-06T17:30Z,235
2026-03-06T18:00Z,231
2026-03-06T18:30Z,227
2026-03-06T19:00Z,227
2026-03-06T19:30Z,222
2026-03-06T20:00Z,215
2026-03-06T20:30Z,213
2026-03-06T21:00Z,201
2026-03-06T21:30Z,196
2026-03-06T22:00Z,185
2026-03-06T22:30Z,179
2026-03-06T23:00Z,167
2026-03-06T23:30Z,168
2026-03-07T00:00Z,168
2026-03-07T00:30Z,164
2026-03-07T01:00Z,160
2026-03-07T01:30Z,156
2026-03-07T02:00Z,155
2026-03-07T02:30Z,154
2026-03-07T03:00Z,155
2026-03-07T03:30Z,157
2026-03-07T04:00Z,153
2026-03-07T04:30Z,153
2026-03-07T05:00Z,153
2026-03-07T05:30Z,152
2026-03-07T06:00Z,156
2026-03-07T06:30Z,164
2026-03-07T07:00Z,171
2026-03-07T07:30Z,172
2026-03-07T08:00Z,171
2026-03-07T08:30Z,172
2026-03-07T09:00Z,188
2026-03-07T09:30Z,176
2026-03-07T10:00Z,174
2026-03-07T10:30Z,172
2026-03-07T11:00Z,176
2026-03-07T11:30Z,176
2026-03-07T12:00Z,177
2026-03-07T12:30Z,177
2026-03-07T13:00Z,179
2026-03-07T13:30Z,182
2026-03-07T14:00Z,189
2026-03-07T14:30Z,195
2026-03-07T15:00Z,201
2026-03-07T15:30Z,205
2026-03-07T16:00Z,209
2026-03-07T16:30Z,213
2026-03-07T17:00Z,216
2026-03-07T17:30Z,218
2026-03-07T18:00Z,218
2026-03-07T18:30Z,221
2026-03-07T19:00Z,219
2026-03-07T19:30Z,218
2026-03-07T20:00Z,218
2026-03-07T20:30Z,211
2026-03-07T21:00Z,203
2026-03-07T21:30Z,194
2026-03-07T22:00Z,185
2026-03-07T22:30Z,176
2026-03-07T23:00Z,177
2026-03-07T23:30Z,179
2026-03-08T00:00Z,181
2026-03-08T00:30Z,179
2026-03-08T01:00Z,179
2026-03-08T01:30Z,178
2026-03-08T02:00Z,179
2026-03-08T02:30Z,180
2026-03-08T03:00Z,183
2026-03-08T03:30Z,185
2026-03-08T04:00Z,186
2026-03-08T04:30Z,177
2026-03-08T05:00Z,180
2026-03-08T05:30Z,184
2026-03-08T06:00Z,185
2026-03-08T06:30Z,191
2026-03-08T07:00Z,196
2026-03-08T07:30Z,197
2026-03-08T08:00Z,199
2026-03-08T08:30Z,200
