from,intensity
2026-02-28T00:00Z,229.5
2026-02-28T00:30Z,237.0
2026-02-28T01:00Z,245.5
2026-02-28T01:30Z,248.0
2026-02-28T02:00Z,247.0
2026-02-28T02:30Z,247.5
2026-02-28T03:00Z,250.5
2026-02-28T03:30Z,251.0
2026-02-28T04:00Z,246.0
2026-02-28T04:30Z,236.5
2026-02-28T05:00Z,228.5
2026-02-28T05:30Z,229.5
2026-02-28T06:00Z,227.5
2026-02-28T06:30Z,217.0
2026-02-28T07:00Z,220.0
2026-02-28T07:30Z,217.0
2026-02-28T08:00Z,208.5
2026-02-28T08:30Z,202.5
2026-02-28T09:00Z,194.5
2026-02-28T09:30Z,189.5
2026-02-28T10:00Z,190.0
2026-02-28T10:30Z,189.0
2026-02-28T11:00Z,185.5
2026-02-28T11:30Z,165.0
2026-02-28T12:00Z,147.5
2026-02-28T12:30Z,137.0
2026-02-28T13:00Z,133.0
2026-02-28T13:30Z,129.5
2026-02-28T14:00Z,126.5
2026-02-28T14:30Z,130.5
2026-02-28T15:00Z,139.5
2026-02-28T15:30Z,136.0
2026-02-28T16:00Z,144.5
2026-02-28T16:30Z,156.5
2026-02-28T17:00Z,174.0
2026-02-28T17:30Z,172.0
2026-02-28T18:00Z,165.0
2026-02-28T18:30Z,154.0
2026-02-28T19:00Z,147.5
2026-02-28T19:30Z,149.0
2026-02-28T20:00Z,151.0
2026-02-28T20:30Z,146.0
2026-02-28T21:00Z,150.0
2026-02-28T21:30Z,182.5
2026-02-28T22:00Z,170.0
2026-02-28T22:30Z,157.0
2026-02-28T23:00Z,131.0
2026-02-28T23:30Z,130.0
2026-03-01T00:00Z,113.5
2026-03-01T00:30Z,109.5
2026-03-01T01:00Z,117.5
2026-03-01T01:30Z,116.5
2026-03-01T02:00Z,119.5
2026-03-01T02:30Z,115.0
2026-03-01T03:00Z,118.0
2026-03-01T03:30Z,121.5
2026-03-01T04:00Z,123.5
2026-03-01T04:30Z,124.5
2026-03-01T05:00Z,125.0
2026-03-01T05:30Z,126.0
2026-03-01T06:00Z,124.0
2026-03-01T06:30Z,122.0
2026-03-01T07:00Z,120.0
2026-03-01T07:30Z,115.5
2026-03-01T08:00Z,112.5
2026-03-01T08:30Z,110.0
2026-03-01T09:00Z,108.0
2026-03-01T09:30Z,105.0
2026-03-01T10:00Z,103.0
2026-03-01T10:30Z,102.5
2026-03-01T11:00Z,100.5
2026-03-01T11:30Z,100.0
2026-03-01T12:00Z,98.5
2026-03-01T12:30Z,98.5
2026-03-01T13:00Z,97.5
2026-03-01T13:30Z,97.5
2026-03-01T14:00Z,97.0
2026-03-01T14:30Z,97.5
2026-03-01T15:00Z,101.5
2026-03-01T15:30Z,100.0
2026-03-01T16:00Z,99.0
2026-03-01T16:30Z,99.0
2026-03-01T17:00Z,92.5
2026-03-01T17:30Z,88.5
2026-03-01T18:00Z,87.0
2026-03-01T18:30Z,86.0
2026-03-01T19:00Z,84.5
2026-03-01T19:30Z,89.0
2026-03-01T20:00Z,90.0
2026-03-01T20:30Z,96.0
2026-03-01T21:00Z,93.0
2026-03-01T21:30Z,97.0
2026-03-01T22:00Z,99.5
2026-03-01T22:30Z,106.0
2026-03-01T23:00Z,113.0
2026-03-01T23:30Z,126.0
2026-03-02T00:00Z,127.5
2026-03-02T00:30Z,135.5
2026-03-02T01:00Z,141.0
2026-03-02T01:30Z,139.5
2026-03-02T02:00Z,139.5
2026-03-02T02:30Z,135.5
2026-03-02T03:00Z,125.0
2026-03-02T03:30Z,121.5
2026-03-02T04:00Z,120.0
2026-03-02T04:30Z,120.0
2026-03-02T05:00Z,119.5
2026-03-02T05:30Z,118.5
2026-03-02T06:00Z,115.0
2026-03-02T06:30Z,133.0
2026-03-02T07:00Z,143.5
2026-03-02T07:30Z,136.5
2026-03-02T08:00Z,133.0
2026-03-02T08:30Z,130.5
2026-03-02T09:00Z,125.0
2026-03-02T09:30Z,121.5
2026-03-02T10:00Z,118.5
2026-03-02T10:30Z,105.0
2026-03-02T11:00Z,95.5
2026-03-02T11:30Z,101.0
2026-03-02T12:00Z,115.0
2026-03-02T12:30Z,126.0
2026-03-02T13:00Z,134.0
2026-03-02T13:30Z,144.0
2026-03-02T14:00Z,150.5
2026-03-02T14:30Z,162.0
2026-03-02T15:00Z,191.0
2026-03-02T15:30Z,190.0
2026-03-02T16:00Z,194.0
2026-03-02T16:30Z,193.0
2026-03-02T17:00Z,191.5
2026-03-02T17:30Z,194.5
2026-03-02T18:00Z,185.5
2026-03-02T18:30Z,182.5
2026-03-02T19:00Z,187.5
2026-03-02T19:30Z,188.5
2026-03-02T20:00Z,187.0
2026-03-02T20:30Z,187.5
2026-03-02T21:00Z,192.0
2026-03-02T21:30Z,197.5
2026-03-02T22:00Z,196.5
2026-03-02T22:30Z,209.0
2026-03-02T23:00Z,220.0
2026-03-02T23:30Z,212.5
2026-03-03T00:00Z,208.5
2026-03-03T00:30Z,209.0
2026-03-03T01:00Z,215.0
2026-03-03T01:30Z,210.5
2026-03-03T02:00Z,201.0
2026-03-03T02:30Z,201.5
2026-03-03T03:00Z,212.0
2026-03-03T03:30Z,215.0
2026-03-03T04:00Z,220.0
2026-03-03T04:30Z,220.0
2026-03-03T05:00Z,225.5
2026-03-03T05:30Z,219.5
2026-03-03T06:00Z,207.0
2026-03-03T06:30Z,210.5
2026-03-03T07:00Z,210.5
2026-03-03T07:30Z,209.0
2026-03-03T08:00Z,201.0
2026-03-03T08:30Z,194.0
2026-03-03T09:00Z,193.5
2026-03-03T09:30Z,196.5
2026-03-03T10:00Z,201.5
2026-03-03T10:30Z,197.0
2026-03-03T11:00Z,190.5
2026-03-03T11:30Z,197.0
2026-03-03T12:00Z,200.5
2026-03-03T12:30Z,197.5
2026-03-03T13:00Z,187.0
2026-03-03T13:30Z,184.5
2026-03-03T14:00Z,184.0
2026-03-03T14:30Z,188.5
2026-03-03T15:00Z,191.0
2026-03-03T15:30Z,198.5
2026-03-03T16:00Z,207.5
2026-03-03T16:30Z,204.0
2026-03-03T17:00Z,200.5
2026-03-03T17:30Z,197.5
2026-03-03T18:00Z,187.5
2026-03-03T18:30Z,182.0
2026-03-03T19:00Z,178.5
2026-03-03T19:30Z,173.5
2026-03-03T20:00Z,177.0
2026-03-03T20:30Z,186.5
2026-03-03T21:00Z,185.5
2026-03-03T21:30Z,183.5
2026-03-03T22:00Z,201.5
2026-03-03T22:30Z,210.0
2026-03-03T23:00Z,215.5
2026-03-03T23:30Z,221.0
2026-03-04T00:00Z,221.0
2026-03-04T00:30Z,221.0
2026-03-04T01:00Z,212.5
2026-03-04T01:30Z,207.0
2026-03-04T02:00Z,210.0
2026-03-04T02:30Z,209.0
2026-03-04T03:00Z,210.5
2026-03-04T03:30Z,211.0
2026-03-04T04:00Z,216.0
2026-03-04T04:30Z,225.0
2026-03-04T05:00Z,233.5
2026-03-04T05:30Z,225.0
2026-03-04T06:00Z,237.0
2026-03-04T06:30Z,229.0
2026-03-04T07:00Z,216.0
2026-03-04T07:30Z,202.5
2026-03-04T08:00Z,193.0
2026-03-04T08:30Z,178.5
2026-03-04T09:00Z,171.5
2026-03-04T09:30Z,172.0
2026-03-04T10:00Z,170.0
2026-03-04T10:30Z,169.5
2026-03-04T11:00Z,166.0
2026-03-04T11:30Z,165.5
2026-03-04T12:00Z,168.0
