from,intensity
2026-02-28T00:00Z,117.3
2026-02-28T00:30Z,117.3
2026-02-28T01:00Z,187.2
2026-02-28T01:30Z,187.2
2026-02-28T02:00Z,330.7
2026-02-28T02:30Z,330.7
2026-02-28T03:00Z,351.0
2026-02-28T03:30Z,351.0
2026-02-28T04:00Z,336.2
2026-02-28T04:30Z,336.2
2026-02-28T05:00Z,324.0
2026-02-28T05:30Z,324.0
2026-02-28T06:00Z,327.7
2026-02-28T06:30Z,327.7
2026-02-28T07:00Z,308.9
2026-02-28T07:30Z,308.9
2026-02-28T08:00Z,302.2
2026-02-28T08:30Z,302.2
2026-02-28T09:00Z,283.7
2026-02-28T09:30Z,283.7
2026-02-28T10:00Z,253.3
2026-02-28T10:30Z,253.3
2026-02-28T11:00Z,241.9
2026-02-28T11:30Z,241.9
2026-02-28T12:00Z,236.8
2026-02-28T12:30Z,236.8
2026-02-28T13:00Z,239.5
2026-02-28T13:30Z,239.5
2026-02-28T14:00Z,251.3
2026-02-28T14:30Z,251.3
2026-02-28T15:00Z,274.2
2026-02-28T15:30Z,274.2
2026-02-28T16:00Z,137.8
2026-02-28T16:30Z,137.8
2026-02-28T17:00Z,84.3
2026-02-28T17:30Z,84.3
2026-02-28T18:00Z,91.3
2026-02-28T18:30Z,91.3
2026-02-28T19:00Z,87.6
2026-02-28T19:30Z,87.6
2026-02-28T20:00Z,87.6
2026-02-28T20:30Z,87.6
2026-02-28T21:00Z,83.6
2026-02-28T21:30Z,83.6
2026-02-28T22:00Z,82.7
2026-02-28T22:30Z,82.7
2026-02-28T23:00Z,88.9
2026-02-28T23:30Z,88.9
2026-03-01T00:00Z,100.0
2026-03-01T00:30Z,100.0
2026-03-01T01:00Z,177.6
2026-03-01T01:30Z,177.6
2026-03-01T02:00Z,338.4
2026-03-01T02:30Z,338.4
2026-03-01T03:00Z,372.8
2026-03-01T03:30Z,372.8
2026-03-01T04:00Z,359.6
2026-03-01T04:30Z,359.6
2026-03-01T05:00Z,342.4
2026-03-01T05:30Z,342.4
2026-03-01T06:00Z,334.3
2026-03-01T06:30Z,334.3
2026-03-01T07:00Z,298.2
2026-03-01T07:30Z,298.2
2026-03-01T08:00Z,266.9
2026-03-01T08:30Z,266.9
2026-03-01T09:00Z,232.1
2026-03-01T09:30Z,232.1
2026-03-01T10:00Z,211.0
2026-03-01T10:30Z,211.0
2026-03-01T11:00Z,193.5
2026-03-01T11:30Z,193.5
2026-03-01T12:00Z,192.3
2026-03-01T12:30Z,192.3
2026-03-01T13:00Z,183.3
2026-03-01T13:30Z,183.3
2026-03-01T14:00Z,200.9
2026-03-01T14:30Z,200.9
2026-03-01T15:00Z,192.1
2026-03-01T15:30Z,192.1
2026-03-01T16:00Z,93.8
2026-03-01T16:30Z,93.8
2026-03-01T17:00Z,85.1
2026-03-01T17:30Z,85.1
2026-03-01T18:00Z,84.1
2026-03-01T18:30Z,84.1
2026-03-01T19:00Z,86.3
2026-03-01T19:30Z,86.3
2026-03-01T20:00Z,87.5
2026-03-01T20:30Z,87.5
2026-03-01T21:00Z,84.6
2026-03-01T21:30Z,84.6
2026-03-01T22:00Z,82.9
2026-03-01T22:30Z,82.9
2026-03-01T23:00Z,84.5
2026-03-01T23:30Z,84.5
2026-03-02T00:00Z,82.8
2026-03-02T00:30Z,82.8
2026-03-02T01:00Z,133.2
2026-03-02T01:30Z,133.2
2026-03-02T02:00Z,331.1
2026-03-02T02:30Z,331.1
2026-03-02T03:00Z,369.3
2026-03-02T03:30Z,369.3
2026-03-02T04:00Z,345.0
2026-03-02T04:30Z,345.0
2026-03-02T05:00Z,309.0
2026-03-02T05:30Z,309.0
2026-03-02T06:00Z,282.9
2026-03-02T06:30Z,282.9
2026-03-02T07:00Z,255.4
2026-03-02T07:30Z,255.4
2026-03-02T08:00Z,231.0
2026-03-02T08:30Z,231.0
2026-03-02T09:00Z,211.7
2026-03-02T09:30Z,211.7
2026-03-02T10:00Z,191.1
2026-03-02T10:30Z,191.1
2026-03-02T11:00Z,177.4
2026-03-02T11:30Z,177.4
2026-03-02T12:00Z,196.5
2026-03-02T12:30Z,196.5
2026-03-02T13:00Z,206.0
2026-03-02T13:30Z,206.0
2026-03-02T14:00Z,202.0
2026-03-02T14:30Z,202.0
2026-03-02T15:00Z,233.1
2026-03-02T15:30Z,233.1
2026-03-02T16:00Z,123.2
2026-03-02T16:30Z,123.2
2026-03-02T17:00Z,95.3
2026-03-02T17:30Z,95.3
2026-03-02T18:00Z,94.5
2026-03-02T18:30Z,94.5
2026-03-02T19:00Z,86.4
2026-03-02T19:30Z,86.4
2026-03-02T20:00Z,81.9
2026-03-02T20:30Z,81.9
2026-03-02T21:00Z,79.6
2026-03-02T21:30Z,79.6
2026-03-02T22:00Z,75.7
2026-03-02T22:30Z,75.7
2026-03-02T23:00Z,79.4
2026-03-02T23:30Z,79.4
2026-03-03T00:00Z,83.5
2026-03-03T00:30Z,83.5
2026-03-03T01:00Z,107.6
2026-03-03T01:30Z,107.6
2026-03-03T02:00Z,276.9
2026-03-03T02:30Z,276.9
2026-03-03T03:00Z,300.4
2026-03-03T03:30Z,300.4
2026-03-03T04:00Z,300.1
2026-03-03T04:30Z,300.1
2026-03-03T05:00Z,282.5
2026-03-03T05:30Z,282.5
2026-03-03T06:00Z,264.4
2026-03-03T06:30Z,264.4
2026-03-03T07:00Z,232.6
2026-03-03T07:30Z,232.6
2026-03-03T08:00Z,228.4
2026-03-03T08:30Z,228.4
2026-03-03T09:00Z,180.2
2026-03-03T09:30Z,180.2
2026-03-03T10:00Z,160.7
2026-03-03T10:30Z,160.7
2026-03-03T11:00Z,161.8
2026-03-03T11:30Z,161.8
2026-03-03T12:00Z,179.2
2026-03-03T12:30Z,179.2
2026-03-03T13:00Z,210.3
2026-03-03T13:30Z,210.3
2026-03-03T14:00Z,270.9
2026-03-03T14:30Z,270.9
2026-03-03T15:00Z,289.2
2026-03-03T15:30Z,289.2
2026-03-03T16:00Z,117.9
2026-03-03T16:30Z,117.9
2026-03-03T17:00Z,96.4
2026-03-03T17:30Z,96.4
2026-03-03T18:00Z,86.5
2026-03-03T18:30Z,86.5
2026-03-03T19:00Z,84.3
2026-03-03T19:30Z,84.3
2026-03-03T20:00Z,83.5
2026-03-03T20:30Z,83.5
2026-03-03T21:00Z,84.1
2026-03-03T21:30Z,84.1
2026-03-03T22:00Z,81.6
2026-03-03T22:30Z,81.6
2026-03-03T23:00Z,84.9
2026-03-03T23:30Z,84.9
2026-03-04T00:00Z,96.3
2026-03-04T00:30Z,96.3
2026-03-04T01:00Z,163.8
2026-03-04T01:30Z,163.8
2026-03-04T02:00Z,362.6
2026-03-04T02:30Z,362.6
2026-03-04T03:00Z,404.7
2026-03-04T03:30Z,404.7
2026-03-04T04:00Z,379.8
2026-03-04T04:30Z,379.8
2026-03-04T05:00Z,356.4
2026-03-04T05:30Z,356.4
2026-03-04T06:00Z,342.4
2026-03-04T06:30Z,342.4
2026-03-04T07:00Z,273.4
2026-03-04T07:30Z,273.4
2026-03-04T08:00Z,248.4
2026-03-04T08:30Z,248.4
2026-03-04T09:00Z,230.8
2026-03-04T09:30Z,230.8
2026-03-04T10:00Z,210.9
2026-03-04T10:30Z,210.9
2026-03-04T11:00Z,200.4
2026-03-04T11:30Z,200.4
2026-03-04T12:00Z,200.6
2026-03-04T12:30Z,200.6
2026-03-04T13:00Z,195.4
2026-03-04T13:30Z,195.4
2026-03-04T14:00Z,219.1
2026-03-04T14:30Z,219.1
2026-03-04T15:00Z,237.5
2026-03-04T15:30Z,237.5
2026-03-04T16:00Z,113.1
2026-03-04T16:30Z,113.1
2026-03-04T17:00Z,96.3
2026-03-04T17:30Z,96.3
2026-03-04T18:00Z,92.2
2026-03-04T18:30Z,92.2
2026-03-04T19:00Z,87.9
2026-03-04T19:30Z,87.9
2026-03-04T20:00Z,83.4
2026-03-04T20:30Z,83.4
2026-03-04T21:00Z,83.8
2026-03-04T21:30Z,83.8
2026-03-04T22:00Z,84.7
2026-03-04T22:30Z,84.7
2026-03-04T23:00Z,83.0
2026-03-04T23:30Z,83.0
2026-03-05T00:00Z,85.1
2026-03-05T00:30Z,85.1
2026-03-05T01:00Z,99.8
2026-03-05T01:30Z,99.8
2026-03-05T02:00Z,272.5
2026-03-05T02:30Z,272.5
2026-03-05T03:00Z,322.6
2026-03-05T03:30Z,322.6
2026-03-05T04:00Z,314.5
2026-03-05T04:30Z,314.5
2026-03-05T05:00Z,275.6
2026-03-05T05:30Z,275.6
2026-03-05T06:00Z,258.6
2026-03-05T06:30Z,258.6
2026-03-05T07:00Z,196.1
2026-03-05T07:30Z,196.1
2026-03-05T08:00Z,146.7
2026-03-05T08:30Z,146.7
2026-03-05T09:00Z,137.0
2026-03-05T09:30Z,137.0
2026-03-05T10:00Z,115.3
2026-03-05T10:30Z,115.3
2026-03-05T11:00Z,105.3
2026-03-05T11:30Z,105.3
2026-03-05T12:00Z,106.6
2026-03-05T12:30Z,106.6
2026-03-05T13:00Z,153.9
2026-03-05T13:30Z,153.9
2026-03-05T14:00Z,215.8
2026-03-05T14:30Z,215.8
2026-03-05T15:00Z,237.6
2026-03-05T15:30Z,237.6
2026-03-05T16:00Z,94.7
2026-03-05T16:30Z,94.7
2026-03-05T17:00Z,85.8
2026-03-05T17:30Z,85.8
2026-03-05T18:00Z,90.3
2026-03-05T18:30Z,90.3
2026-03-05T19:00Z,92.4
2026-03-05T19:30Z,92.4
2026-03-05T20:00Z,90.6
2026-03-05T20:30Z,90.6
2026-03-05T21:00Z,89.6
2026-03-05T21:30Z,89.6
2026-03-05T22:00Z,87.8
2026-03-05T22:30Z,87.8
2026-03-05T23:00Z,87.7
2026-03-05T23:30Z,87.7
2026-03-06T00:00Z,90.8
2026-03-06T00:30Z,90.8
2026-03-06T01:00Z,92.2
2026-03-06T01:30Z,92.2
2026-03-06T02:00Z,258.4
2026-03-06T02:30Z,258.4
2026-03-06T03:00Z,305.4
2026-03-06T03:30Z,305.4
2026-03-06T04:00Z,290.9
2026-03-06T04:30Z,290.9
2026-03-06T05:00Z,275.0
2026-03-06T05:30Z,275.0
2026-03-06T06:00Z,271.4
2026-03-06T06:30Z,271.4
2026-03-06T07:00Z,237.3
2026-03-06T07:30Z,237.3
2026-03-06T08:00Z,213.7
2026-03-06T08:30Z,213.7
2026-03-06T09:00Z,203.5
2026-03-06T09:30Z,203.5
2026-03-06T10:00Z,193.2
2026-03-06T10:30Z,193.2
2026-03-06T11:00Z,146.9
2026-03-06T11:30Z,146.9
2026-03-06T12:00Z,131.8
2026-03-06T12:30Z,131.8
2026-03-06T13:00Z,149.8
2026-03-06T13:30Z,149.8
2026-03-06T14:00Z,216.8
2026-03-06T14:30Z,216.8
2026-03-06T15:00Z,249.9
2026-03-06T15:30Z,249.9
2026-03-06T16:00Z,89.5
2026-03-06T16:30Z,89.5
2026-03-06T17:00Z,82.3
2026-03-06T17:30Z,82.3
2026-03-06T18:00Z,81.6
2026-03-06T18:30Z,81.6
2026-03-06T19:00Z,80.9
2026-03-06T19:30Z,80.9
2026-03-06T20:00Z,82.1
2026-03-06T20:30Z,82.1
2026-03-06T21:00Z,86.1
2026-03-06T21:30Z,86.1
2026-03-06T22:00Z,88.1
2026-03-06T22:30Z,88.1
2026-03-06T23:00Z,94.9
2026-03-06T23:30Z,94.9
2026-03-07T00:00Z,92.4
2026-03-07T00:30Z,92.4
2026-03-07T01:00Z,120.7
2026-03-07T01:30Z,120.7
2026-03-07T02:00Z,319.2
2026-03-07T02:30Z,319.2
2026-03-07T03:00Z,346.8
2026-03-07T03:30Z,346.8
2026-03-07T04:00Z,327.1
2026-03-07T04:30Z,327.1
2026-03-07T05:00Z,315.1
2026-03-07T05:30Z,315.1
2026-03-07T06:00Z,321.2
2026-03-07T06:30Z,321.2
2026-03-07T07:00Z,249.7
2026-03-07T07:30Z,249.7
2026-03-07T08:00Z,234.1
2026-03-07T08:30Z,234.1
2026-03-07T09:00Z,230.6
2026-03-07T09:30Z,230.6
2026-03-07T10:00Z,197.1
2026-03-07T10:30Z,197.1
2026-03-07T11:00Z,150.5
2026-03-07T11:30Z,150.5
2026-03-07T12:00Z,136.1
2026-03-07T12:30Z,136.1
2026-03-07T13:00Z,154.4
2026-03-07T13:30Z,154.4
2026-03-07T14:00Z,220.0
2026-03-07T14:30Z,220.0
2026-03-07T15:00Z,248.5
2026-03-07T15:30Z,248.5
2026-03-07T16:00Z,85.7
2026-03-07T16:30Z,85.7
2026-03-07T17:00Z,81.3
2026-03-07T17:30Z,81.3
2026-03-07T18:00Z,82.4
2026-03-07T18:30Z,82.4
2026-03-07T19:00Z,82.9
2026-03-07T19:30Z,82.9
2026-03-07T20:00Z,87.5
2026-03-07T20:30Z,87.5
2026-03-07T21:00Z,88.2
2026-03-07T21:30Z,88.2
2026-03-07T22:00Z,91.5
2026-03-07T22:30Z,91.5
2026-03-07T23:00Z,97.3
2026-03-07T23:30Z,97.3
2026-03-08T00:00Z,100.4
2026-03-08T00:30Z,100.4
2026-03-08T01:00Z,118.8
2026-03-08T01:30Z,118.8
2026-03-08T02:00Z,317.7
2026-03-08T02:30Z,317.7
2026-03-08T03:00Z,348.1
2026-03-08T03:30Z,348.1
2026-03-08T04:00Z,325.3
2026-03-08T04:30Z,325.3
2026-03-08T05:00Z,311.8
2026-03-08T05:30Z,311.8
2026-03-08T06:00Z,315.4
2026-03-08T06:30Z,315.4
2026-03-08T07:00Z,242.1
2026-03-08T07:30Z,242.1
2026-03-08T08:00Z,281.4
2026-03-08T08:30Z,281.4
2026-03-08T09:00Z,209.4
2026-03-08T09:30Z,209.4
2026-03-08T10:00Z,184.4
2026-03-08T10:30Z,184.4
2026-03-08T11:00Z,185.6
2026-03-08T11:30Z,185.6
2026-03-08T12:00Z,204.6
2026-03-08T12:30Z,204.6
2026-03-08T13:00Z,225.0
2026-03-08T13:30Z,225.0
2026-03-08T14:00Z,234.1
2026-03-08T14:30Z,234.1
2026-03-08T15:00Z,208.8
2026-03-08T15:30Z,208.8
2026-03-08T16:00Z,97.9
2026-03-08T16:30Z,97.9
2026-03-08T17:00Z,97.7
2026-03-08T17:30Z,97.7
2026-03-08T18:00Z,97.0
2026-03-08T18:30Z,97.0
2026-03-08T19:00Z,99.7
2026-03-08T19:30Z,99.7
2026-03-08T20:00Z,100.8
2026-03-08T20:30Z,100.8
2026-03-08T21:00Z,101.3
2026-03-08T21:30Z,101.3
2026-03-08T22:00Z,103.4
2026-03-08T22:30Z,103.4
2026-03-08T23:00Z,105.0
2026-03-08T23:30Z,105.0
2026-03-09T00:00Z,96.4
2026-03-09T00:30Z,96.4
2026-03-09T01:00Z,125.7
2026-03-09T01:30Z,125.7
2026-03-09T02:00Z,302.4
2026-03-09T02:30Z,302.4
2026-03-09T03:00Z,352.7
2026-03-09T03:30Z,352.7
2026-03-09T04:00Z,336.8
2026-03-09T04:30Z,336.8
2026-03-09T05:00Z,319.6
2026-03-09T05:30Z,319.6
2026-03-09T06:00Z,298.0
2026-03-09T06:30Z,298.0
2026-03-09T07:00Z,260.7
