from,intensity
2026-02-28T00:00Z,347.1
2026-02-28T00:30Z,347.1
2026-02-28T01:00Z,350.3
2026-02-28T01:30Z,350.3
2026-02-28T02:00Z,347.5
2026-02-28T02:30Z,347.5
2026-02-28T03:00Z,348.3
2026-02-28T03:30Z,348.3
2026-02-28T04:00Z,348.0
2026-02-28T04:30Z,348.0
2026-02-28T05:00Z,342.7
2026-02-28T05:30Z,342.7
2026-02-28T06:00Z,336.1
2026-02-28T06:30Z,336.1
2026-02-28T07:00Z,334.7
2026-02-28T07:30Z,334.7
2026-02-28T08:00Z,330.6
2026-02-28T08:30Z,330.6
2026-02-28T09:00Z,334.9
2026-02-28T09:30Z,334.9
2026-02-28T10:00Z,341.2
2026-02-28T10:30Z,341.2
2026-02-28T11:00Z,344.5
2026-02-28T11:30Z,344.5
2026-02-28T12:00Z,348.5
2026-02-28T12:30Z,348.5
2026-02-28T13:00Z,344.8
2026-02-28T13:30Z,344.8
2026-02-28T14:00Z,325.7
2026-02-28T14:30Z,325.7
2026-02-28T15:00Z,308.4
2026-02-28T15:30Z,308.4
2026-02-28T16:00Z,302.9
2026-02-28T16:30Z,302.9
2026-02-28T17:00Z,299.9
2026-02-28T17:30Z,299.9
2026-02-28T18:00Z,299.5
2026-02-28T18:30Z,299.5
2026-02-28T19:00Z,301.1
2026-02-28T19:30Z,301.1
2026-02-28T20:00Z,298.8
2026-02-28T20:30Z,298.8
2026-02-28T21:00Z,300.4
2026-02-28T21:30Z,300.4
2026-02-28T22:00Z,307.5
2026-02-28T22:30Z,307.5
2026-02-28T23:00Z,326.8
2026-02-28T23:30Z,326.8
2026-03-01T00:00Z,335.7
2026-03-01T00:30Z,335.7
2026-03-01T01:00Z,341.0
2026-03-01T01:30Z,341.0
2026-03-01T02:00Z,342.9
2026-03-01T02:30Z,342.9
2026-03-01T03:00Z,348.1
2026-03-01T03:30Z,348.1
2026-03-01T04:00Z,349.3
2026-03-01T04:30Z,349.3
2026-03-01T05:00Z,347.8
2026-03-01T05:30Z,347.8
2026-03-01T06:00Z,347.1
2026-03-01T06:30Z,347.1
2026-03-01T07:00Z,351.1
2026-03-01T07:30Z,351.1
2026-03-01T08:00Z,350.1
2026-03-01T08:30Z,350.1
2026-03-01T09:00Z,350.3
2026-03-01T09:30Z,350.3
2026-03-01T10:00Z,350.9
2026-03-01T10:30Z,350.9
2026-03-01T11:00Z,349.9
2026-03-01T11:30Z,349.9
2026-03-01T12:00Z,350.6
2026-03-01T12:30Z,350.6
2026-03-01T13:00Z,348.6
2026-03-01T13:30Z,348.6
2026-03-01T14:00Z,332.0
2026-03-01T14:30Z,332.0
2026-03-01T15:00Z,316.8
2026-03-01T15:30Z,316.8
2026-03-01T16:00Z,308.0
2026-03-01T16:30Z,308.0
2026-03-01T17:00Z,303.0
2026-03-01T17:30Z,303.0
2026-03-01T18:00Z,299.6
2026-03-01T18:30Z,299.6
2026-03-01T19:00Z,298.8
2026-03-01T19:30Z,298.8
2026-03-01T20:00Z,299.3
2026-03-01T20:30Z,299.3
2026-03-01T21:00Z,299.5
2026-03-01T21:30Z,299.5
2026-03-01T22:00Z,311.4
2026-03-01T22:30Z,311.4
2026-03-01T23:00Z,336.9
2026-03-01T23:30Z,336.9
2026-03-02T00:00Z,359.0
2026-03-02T00:30Z,359.0
2026-03-02T01:00Z,368.6
2026-03-02T01:30Z,368.6
2026-03-02T02:00Z,373.1
2026-03-02T02:30Z,373.1
2026-03-02T03:00Z,380.4
2026-03-02T03:30Z,380.4
2026-03-02T04:00Z,386.1
2026-03-02T04:30Z,386.1
2026-03-02T05:00Z,386.9
2026-03-02T05:30Z,386.9
2026-03-02T06:00Z,382.7
2026-03-02T06:30Z,382.7
2026-03-02T07:00Z,378.9
2026-03-02T07:30Z,378.9
2026-03-02T08:00Z,377.5
2026-03-02T08:30Z,377.5
2026-03-02T09:00Z,376.6
