N,M,Method,Carbon_red_%,Carbon_red_std,SLA_%,SLA_std
50,4,WOA,80.16,0.49,0.0,0.0
50,4,GWO,79.6,0.77,0.0,0.0
50,4,PSO,74.51,1.9,13.2,4.66
50,4,DE,73.49,1.13,17.2,3.92
50,4,HHO,81.61,0.51,0.0,0.0
50,4,GA,67.95,1.16,46.8,4.12
50,4,CA-WOA,81.98,0.12,0.0,0.0
100,7,WOA,83.3,0.01,0.0,0.0
100,7,GWO,82.99,0.27,0.0,0.0
100,7,PSO,81.12,0.64,27.8,3.87
100,7,DE,81.12,0.43,29.2,2.64
100,7,HHO,84.52,0.69,0.0,0.0
100,7,GA,81.21,0.22,53.4,1.96
100,7,CA-WOA,85.35,0.12,0.0,0.0
200,14,WOA,83.74,0.12,0.0,0.0
200,14,GWO,83.72,0.13,0.1,0.2
200,14,PSO,83.93,0.39,36.7,2.98
200,14,DE,84.31,0.36,33.6,2.85
200,14,HHO,85.16,0.62,0.0,0.0
200,14,GA,84.43,0.41,58.4,0.73
200,14,CA-WOA,85.54,0.07,0.0,0.0
300,20,WOA,84.97,0.09,0.0,0.0
300,20,GWO,84.91,0.1,0.27,0.33
300,20,PSO,85.43,0.25,41.47,0.98
300,20,DE,86.35,0.17,37.27,1.82
300,20,HHO,86.31,0.53,0.0,0.0
300,20,GA,86.06,0.31,59.07,0.33
300,20,CA-WOA,86.63,0.04,0.0,0.0
