N,M,ca_woa,ca_sd,greedy,diff_pp,p,winner
500,10,87.746,0.096,87.487,0.259,4.82e-15,CA-WOA
500,20,87.746,0.096,87.487,0.259,4.82e-15,CA-WOA
1000,10,88.305,0.159,88.514,-0.209,6.05e-08,greedy
1000,20,88.611,0.052,88.514,0.098,3.16e-11,CA-WOA
1500,10,87.044,0.304,88.936,-1.892,5.74e-25,greedy
1500,20,88.852,0.079,88.936,-0.084,2.65e-06,greedy
2000,10,87.399,0.226,89.239,-1.84,2.75e-28,greedy
2000,20,88.944,0.068,89.239,-0.295,1.2e-20,greedy
2500,10,87.55,0.124,89.376,-1.826,1.05e-35,greedy
2500,20,88.815,0.112,89.376,-0.561,2.54e-22,greedy
3000,10,87.582,0.098,89.4,-1.818,1.33e-38,greedy
3000,20,87.844,0.304,89.4,-1.555,1.43e-22,greedy
