N,M,A,B,n,mean_A,ci_A,mean_B,ci_B,diff_pp,welch_p,mwu_p,cohen_d,cliffs_delta,sig
1000,10,CA-WOA,WOA,60,88.141,"[88.12, 88.16]",86.578,"[86.55, 86.61]",1.564,1.41e-98,3.52e-21,14.54,1.0,YES
1000,10,CA-WOA,WOA+improved,60,88.141,"[88.12, 88.16]",86.634,"[86.58, 86.68]",1.507,5.06e-42,1.36e-14,14.18,1.0,YES
1000,10,WOA+improved,WOA,30,86.634,"[86.58, 86.68]",86.578,"[86.55, 86.61]",0.056,0.0565,0.0557,0.45,0.249,no
1000,10,CA-WOA,"CA-WOA, beta=0 (no SLA term)",60,88.141,"[88.12, 88.16]",88.138,"[88.10, 88.17]",0.003,0.887,0.894,0.03,0.018,no
1000,10,CA-WOA,"CA-WOA, gamma=0 (no penalty term)",60,88.141,"[88.12, 88.16]",88.138,"[88.10, 88.17]",0.003,0.887,0.894,0.03,0.018,no
1000,20,CA-WOA,WOA,60,88.686,"[88.67, 88.70]",86.578,"[86.55, 86.61]",2.108,2.46e-93,3.52e-21,22.45,1.0,YES
1000,20,CA-WOA,WOA+improved,60,88.686,"[88.67, 88.70]",86.634,"[86.58, 86.68]",2.052,2.22e-40,1.36e-14,23.5,1.0,YES
1000,20,WOA+improved,WOA,30,86.634,"[86.58, 86.68]",86.578,"[86.55, 86.61]",0.056,0.0564,0.0557,0.45,0.249,no
1000,20,CA-WOA,"CA-WOA, beta=0 (no SLA term)",60,88.686,"[88.67, 88.70]",88.686,"[88.67, 88.71]",0.0,0.998,0.997,0.0,0.001,no
1000,20,CA-WOA,"CA-WOA, gamma=0 (no penalty term)",60,88.686,"[88.67, 88.70]",88.686,"[88.67, 88.71]",0.0,0.998,0.997,0.0,0.001,no
3000,10,CA-WOA,WOA,60,87.543,"[87.52, 87.57]",87.478,"[87.47, 87.49]",0.065,4.49e-05,0.000113,0.79,0.409,YES
3000,10,CA-WOA,WOA+improved,60,87.543,"[87.52, 87.57]",87.482,"[87.47, 87.50]",0.061,0.000223,0.0031,0.66,0.384,YES
3000,10,WOA+improved,WOA,30,87.482,"[87.47, 87.50]",87.478,"[87.47, 87.49]",0.005,0.611,0.518,0.11,0.084,no
3000,10,CA-WOA,"CA-WOA, beta=0 (no SLA term)",60,87.543,"[87.52, 87.57]",87.541,"[87.50, 87.58]",0.003,0.915,0.861,0.02,0.023,no
3000,10,CA-WOA,"CA-WOA, gamma=0 (no penalty term)",60,87.543,"[87.52, 87.57]",87.541,"[87.50, 87.58]",0.003,0.915,0.861,0.02,0.023,no
3000,20,CA-WOA,WOA,60,88.081,"[88.00, 88.16]",87.639,"[87.63, 87.65]",0.442,8.2e-16,1e-19,1.98,0.962,YES
3000,20,CA-WOA,WOA+improved,60,88.081,"[88.00, 88.16]",87.672,"[87.66, 87.69]",0.409,1.77e-14,3.74e-12,1.58,0.902,YES
3000,20,WOA+improved,WOA,30,87.672,"[87.66, 87.69]",87.639,"[87.63, 87.65]",0.033,0.00115,0.00131,0.8,0.418,YES
3000,20,CA-WOA,"CA-WOA, beta=0 (no SLA term)",60,88.081,"[88.00, 88.16]",88.078,"[87.96, 88.19]",0.003,0.966,0.976,0.01,-0.004,no
3000,20,CA-WOA,"CA-WOA, gamma=0 (no penalty term)",60,88.081,"[88.00, 88.16]",88.078,"[87.96, 88.19]",0.003,0.966,0.976,0.01,-0.004,no
