N,M,power,A,B,n,mean_A,ci_A,mean_B,ci_B,diff_pp,welch_p,mwu_p,cohen_d,cliffs_delta,sig
500,10,cubic,CA-WOA,DE,30,88.882,"[88.85, 88.92]",85.483,"[85.33, 85.64]",3.4,4.67e-30,3.02e-11,11.37,1.0,YES
500,10,cubic,CA-WOA,GA,30,88.882,"[88.85, 88.92]",86.244,"[86.13, 86.36]",2.638,6.83e-32,3.02e-11,11.64,1.0,YES
500,10,cubic,CA-WOA,GWO,30,88.882,"[88.85, 88.92]",87.103,"[87.05, 87.15]",1.779,1.11e-48,3.02e-11,15.47,1.0,YES
500,10,cubic,CA-WOA,HHO,30,88.882,"[88.85, 88.92]",86.703,"[86.64, 86.77]",2.18,1.18e-43,3.02e-11,15.66,1.0,YES
500,10,cubic,CA-WOA,PSO,30,88.882,"[88.85, 88.92]",85.45,"[85.31, 85.59]",3.432,1.27e-31,3.02e-11,12.43,1.0,YES
500,10,cubic,CA-WOA,WOA,30,88.882,"[88.85, 88.92]",86.451,"[86.36, 86.54]",2.431,3.7e-35,3.02e-11,12.9,1.0,YES
500,10,linear,CA-WOA,DE,30,87.746,"[87.71, 87.78]",81.578,"[81.45, 81.71]",6.168,8.27e-42,2.94e-11,24.0,1.0,YES
500,10,linear,CA-WOA,GA,30,87.746,"[87.71, 87.78]",83.023,"[82.86, 83.18]",4.723,2.21e-34,2.94e-11,15.43,1.0,YES
500,10,linear,CA-WOA,GWO,30,87.746,"[87.71, 87.78]",84.205,"[84.12, 84.28]",3.541,1.53e-46,2.94e-11,21.39,1.0,YES
500,10,linear,CA-WOA,HHO,30,87.746,"[87.71, 87.78]",84.563,"[84.44, 84.69]",3.183,1.99e-33,2.94e-11,13.04,1.0,YES
500,10,linear,CA-WOA,PSO,30,87.746,"[87.71, 87.78]",81.928,"[81.81, 82.04]",5.818,3.27e-44,2.94e-11,25.74,1.0,YES
500,10,linear,CA-WOA,WOA,30,87.746,"[87.71, 87.78]",83.727,"[83.66, 83.80]",4.019,3.73e-53,2.94e-11,26.78,1.0,YES
500,10,piecewise,CA-WOA,DE,30,87.909,"[87.87, 87.95]",81.241,"[81.10, 81.38]",6.668,2.27e-42,2.99e-11,24.55,1.0,YES
500,10,piecewise,CA-WOA,GA,30,87.909,"[87.87, 87.95]",83.058,"[82.88, 83.24]",4.851,1.63e-32,2.99e-11,13.75,1.0,YES
500,10,piecewise,CA-WOA,GWO,30,87.909,"[87.87, 87.95]",84.213,"[84.10, 84.33]",3.697,2.29e-38,2.99e-11,16.39,1.0,YES
500,10,piecewise,CA-WOA,HHO,30,87.909,"[87.87, 87.95]",84.635,"[84.52, 84.75]",3.274,1.4e-36,2.99e-11,14.56,1.0,YES
500,10,piecewise,CA-WOA,PSO,30,87.909,"[87.87, 87.95]",81.725,"[81.59, 81.86]",6.184,3.62e-42,2.99e-11,23.61,1.0,YES
500,10,piecewise,CA-WOA,WOA,30,87.909,"[87.87, 87.95]",83.819,"[83.74, 83.90]",4.09,2.32e-50,2.99e-11,24.29,1.0,YES
500,20,cubic,CA-WOA,DE,30,88.882,"[88.85, 88.92]",85.483,"[85.33, 85.64]",3.4,4.67e-30,3.02e-11,11.37,1.0,YES
500,20,cubic,CA-WOA,GA,30,88.882,"[88.85, 88.92]",86.244,"[86.13, 86.36]",2.638,6.83e-32,3.02e-11,11.64,1.0,YES
