N,M,algo,A,B,n,mean_A,ci_A,mean_B,ci_B,diff_pp,welch_p,mwu_p,cohen_d,cliffs_delta,sig
500,10,DE,DE+carbon,DE+random,30,87.755,"[87.72, 87.79]",81.578,"[81.45, 81.71]",6.177,2.89e-41,2.2e-11,24.16,1.0,YES
500,10,GA,GA+carbon,GA+random,30,87.487,"[87.49, 87.49]",83.023,"[82.86, 83.18]",4.464,1.58e-31,1.21e-12,14.95,1.0,YES
500,10,GWO,GWO+carbon,GWO+random,30,87.781,"[87.74, 87.82]",84.205,"[84.12, 84.28]",3.577,6.94e-48,2.1e-11,21.33,1.0,YES
500,10,HHO,HHO+carbon,HHO+random,30,87.813,"[87.77, 87.86]",84.563,"[84.44, 84.69]",3.25,4.48e-35,3.02e-11,13.09,1.0,YES
500,10,PSO,PSO+carbon,PSO+random,30,87.487,"[87.49, 87.49]",81.928,"[81.81, 82.04]",5.559,2.36e-38,1.21e-12,25.78,1.0,YES
500,10,WOA,WOA+carbon,WOA+random,60,87.746,"[87.72, 87.77]",83.727,"[83.68, 83.78]",4.019,1.35e-106,3.35e-21,27.01,1.0,YES
500,20,DE,DE+carbon,DE+random,30,87.755,"[87.72, 87.79]",81.578,"[81.45, 81.71]",6.177,2.89e-41,2.2e-11,24.16,1.0,YES
500,20,GA,GA+carbon,GA+random,30,87.487,"[87.49, 87.49]",83.023,"[82.86, 83.18]",4.464,1.58e-31,1.21e-12,14.95,1.0,YES
500,20,GWO,GWO+carbon,GWO+random,30,87.781,"[87.74, 87.82]",84.205,"[84.12, 84.28]",3.577,6.94e-48,2.1e-11,21.33,1.0,YES
500,20,HHO,HHO+carbon,HHO+random,30,87.813,"[87.77, 87.86]",84.563,"[84.44, 84.69]",3.25,4.48e-35,3.02e-11,13.09,1.0,YES
500,20,PSO,PSO+carbon,PSO+random,30,87.487,"[87.49, 87.49]",81.928,"[81.81, 82.04]",5.559,2.36e-38,1.21e-12,25.78,1.0,YES
500,20,WOA,WOA+carbon,WOA+random,60,87.746,"[87.72, 87.77]",83.727,"[83.68, 83.78]",4.019,1.35e-106,3.35e-21,27.01,1.0,YES
1500,10,DE,DE+carbon,DE+random,30,87.781,"[87.70, 87.87]",85.789,"[85.72, 85.85]",1.992,1.06e-40,3.02e-11,9.85,1.0,YES
1500,10,GA,GA+carbon,GA+random,30,87.266,"[87.21, 87.32]",85.731,"[85.68, 85.78]",1.535,9.71e-44,3.02e-11,10.43,1.0,YES
1500,10,GWO,GWO+carbon,GWO+random,30,87.152,"[87.08, 87.22]",86.658,"[86.61, 86.71]",0.494,9.43e-17,2.61e-10,3.11,0.951,YES
1500,10,HHO,HHO+carbon,HHO+random,30,87.397,"[87.32, 87.48]",86.753,"[86.70, 86.80]",0.645,3.27e-18,3.34e-11,3.57,0.998,YES
1500,10,PSO,PSO+carbon,PSO+random,30,87.281,"[87.24, 87.32]",85.75,"[85.69, 85.81]",1.53,1.32e-40,3.02e-11,10.73,1.0,YES
1500,10,WOA,WOA+carbon,WOA+random,60,87.044,"[86.97, 87.12]",86.351,"[86.32, 86.38]",0.693,7.63e-27,6.42e-21,3.07,0.993,YES
1500,20,DE,DE+carbon,DE+random,30,88.95,"[88.94, 88.96]",85.789,"[85.72, 85.85]",3.161,2.29e-40,3.01e-11,25.53,1.0,YES
1500,20,GA,GA+carbon,GA+random,30,88.936,"[88.94, 88.94]",85.731,"[85.68, 85.78]",3.205,2.15e-41,1.21e-12,32.84,1.0,YES
1500,20,GWO,GWO+carbon,GWO+random,30,88.941,"[88.94, 88.95]",86.658,"[86.61, 86.71]",2.283,1.07e-38,2.21e-11,24.41,1.0,YES
1500,20,HHO,HHO+carbon,HHO+random,30,88.979,"[88.96, 89.00]",86.827,"[86.76, 86.89]",2.153,1.36e-36,3.02e-11,16.02,1.0,YES
1500,20,PSO,PSO+carbon,PSO+random,30,88.936,"[88.94, 88.94]",85.75,"[85.69, 85.81]",3.186,7.91e-39,1.21e-12,26.77,1.0,YES
1500,20,WOA,WOA+carbon,WOA+random,60,88.852,"[88.83, 88.87]",86.375,"[86.34, 86.42]",2.476,7.04e-96,3.52e-21,20.18,1.0,YES
3000,10,DE,DE+carbon,DE+random,30,88.375,"[88.35, 88.40]",86.693,"[86.66, 86.73]",1.682,3.54e-57,3.02e-11,20.77,1.0,YES
3000,10,GA,GA+carbon,GA+random,30,88.215,"[88.19, 88.24]",86.807,"[86.76, 86.85]",1.408,1.16e-46,3.02e-11,14.74,1.0,YES
3000,10,GWO,GWO+carbon,GWO+random,30,87.577,"[87.54, 87.61]",87.107,"[87.08, 87.14]",0.47,1.67e-29,3.02e-11,5.63,1.0,YES
3000,10,HHO,HHO+carbon,HHO+random,30,87.684,"[87.64, 87.73]",87.367,"[87.33, 87.40]",0.317,3.94e-16,4.2e-10,2.94,0.94,YES
3000,10,PSO,PSO+carbon,PSO+random,30,88.237,"[88.22, 88.26]",86.7,"[86.66, 86.74]",1.537,1.66e-47,3.02e-11,18.33,1.0,YES
3000,10,WOA,WOA+carbon,WOA+random,60,87.582,"[87.56, 87.61]",87.145,"[87.12, 87.17]",0.437,6.07e-51,3.52e-21,4.86,1.0,YES
3000,20,DE,DE+carbon,DE+random,30,88.544,"[88.49, 88.60]",86.692,"[86.66, 86.72]",1.853,7.95e-44,3.02e-11,14.48,1.0,YES
3000,20,GA,GA+carbon,GA+random,30,88.352,"[88.32, 88.38]",86.807,"[86.76, 86.85]",1.545,7.74e-51,3.02e-11,15.3,1.0,YES
3000,20,GWO,GWO+carbon,GWO+random,30,87.703,"[87.67, 87.74]",87.134,"[87.11, 87.16]",0.569,2.65e-34,3.02e-11,6.95,1.0,YES
3000,20,HHO,HHO+carbon,HHO+random,30,88.166,"[88.06, 88.27]",87.512,"[87.45, 87.57]",0.653,5.43e-15,8.89e-10,2.92,0.922,YES
3000,20,PSO,PSO+carbon,PSO+random,30,88.251,"[88.23, 88.27]",86.7,"[86.66, 86.74]",1.551,2.64e-49,3.02e-11,18.09,1.0,YES
