N,M,A,B,n,mean_A,ci_A,mean_B,ci_B,diff_pp,welch_p,mwu_p,cohen_d,cliffs_delta,sig
500,10,CA-WOA,DE,30,87.793,"[87.77, 87.82]",84.476,"[84.40, 84.55]",3.317,1.99e-42,3.02e-11,21.17,1.0,YES
500,10,CA-WOA,GA,30,87.793,"[87.77, 87.82]",84.949,"[84.90, 85.00]",2.844,3.9e-54,3.02e-11,26.14,1.0,YES
500,10,CA-WOA,GWO,30,87.793,"[87.77, 87.82]",84.351,"[84.25, 84.45]",3.442,7.81e-37,3.02e-11,17.21,1.0,YES
500,10,CA-WOA,HHO,30,87.793,"[87.77, 87.82]",84.23,"[84.13, 84.33]",3.563,8.87e-39,3.02e-11,18.99,1.0,YES
500,10,CA-WOA,PSO,30,87.793,"[87.77, 87.82]",84.037,"[83.99, 84.08]",3.756,2.39e-62,3.02e-11,36.27,1.0,YES
500,10,CA-WOA,WOA,30,87.793,"[87.77, 87.82]",84.472,"[84.39, 84.56]",3.321,6.08e-40,3e-11,19.36,1.0,YES
500,20,CA-WOA,DE,30,87.793,"[87.77, 87.82]",84.476,"[84.40, 84.55]",3.317,1.99e-42,3.02e-11,21.17,1.0,YES
500,20,CA-WOA,GA,30,87.793,"[87.77, 87.82]",84.949,"[84.90, 85.00]",2.844,3.9e-54,3.02e-11,26.14,1.0,YES
500,20,CA-WOA,GWO,30,87.793,"[87.77, 87.82]",84.351,"[84.25, 84.45]",3.442,7.81e-37,3.02e-11,17.21,1.0,YES
500,20,CA-WOA,HHO,30,87.793,"[87.77, 87.82]",84.23,"[84.13, 84.33]",3.563,8.87e-39,3.02e-11,18.99,1.0,YES
500,20,CA-WOA,PSO,30,87.793,"[87.77, 87.82]",84.037,"[83.99, 84.08]",3.756,2.39e-62,3.02e-11,36.27,1.0,YES
500,20,CA-WOA,WOA,30,87.793,"[87.77, 87.82]",84.472,"[84.39, 84.56]",3.321,6.08e-40,3e-11,19.36,1.0,YES
1000,10,CA-WOA,DE,30,88.195,"[88.16, 88.23]",86.921,"[86.90, 86.95]",1.274,7.54e-50,3.02e-11,15.48,1.0,YES
1000,10,CA-WOA,GA,30,88.195,"[88.16, 88.23]",86.956,"[86.93, 86.98]",1.239,9.16e-50,3.02e-11,14.81,1.0,YES
1000,10,CA-WOA,GWO,30,88.195,"[88.16, 88.23]",86.671,"[86.63, 86.71]",1.524,2.6e-52,3.02e-11,14.94,1.0,YES
1000,10,CA-WOA,HHO,30,88.195,"[88.16, 88.23]",86.64,"[86.60, 86.68]",1.555,1.72e-50,3.02e-11,14.49,1.0,YES
1000,10,CA-WOA,PSO,30,88.195,"[88.16, 88.23]",86.677,"[86.64, 86.72]",1.518,1.14e-53,3.02e-11,15.45,1.0,YES
1000,10,CA-WOA,WOA,30,88.195,"[88.16, 88.23]",86.578,"[86.53, 86.62]",1.618,2.57e-50,3.02e-11,14.73,1.0,YES
1000,20,CA-WOA,DE,30,88.686,"[88.67, 88.71]",86.921,"[86.90, 86.95]",1.765,7.6e-67,3.02e-11,29.08,1.0,YES
1000,20,CA-WOA,GA,30,88.686,"[88.67, 88.71]",86.956,"[86.93, 86.98]",1.73,1.61e-64,3.02e-11,27.65,1.0,YES
1000,20,CA-WOA,GWO,30,88.686,"[88.67, 88.71]",86.671,"[86.63, 86.71]",2.015,4.22e-50,3.02e-11,23.55,1.0,YES
1000,20,CA-WOA,HHO,30,88.686,"[88.67, 88.71]",86.64,"[86.60, 86.68]",2.046,2.52e-47,3.02e-11,22.27,1.0,YES
1000,20,CA-WOA,PSO,30,88.686,"[88.67, 88.71]",86.677,"[86.64, 86.72]",2.009,1.16e-52,3.02e-11,24.8,1.0,YES
1000,20,CA-WOA,WOA,30,88.686,"[88.67, 88.71]",86.578,"[86.53, 86.62]",2.108,1.25e-46,3.02e-11,22.26,1.0,YES
1500,10,CA-WOA,DE,30,87.346,"[87.26, 87.44]",87.21,"[87.17, 87.24]",0.137,0.00582,0.00762,0.75,0.402,YES
1500,10,CA-WOA,GA,30,87.346,"[87.26, 87.44]",87.316,"[87.30, 87.34]",0.031,0.497,0.287,0.18,0.161,no
1500,10,CA-WOA,GWO,30,87.346,"[87.26, 87.44]",86.959,"[86.92, 87.00]",0.387,5.53e-10,5e-09,2.06,0.88,YES
1500,10,CA-WOA,HHO,30,87.346,"[87.26, 87.44]",87.016,"[86.99, 87.04]",0.331,1.86e-08,2.19e-08,1.87,0.842,YES
1500,10,CA-WOA,PSO,30,87.346,"[87.26, 87.44]",86.858,"[86.82, 86.89]",0.488,1.1e-12,8.15e-11,2.71,0.978,YES
1500,10,CA-WOA,WOA,30,87.346,"[87.26, 87.44]",86.931,"[86.89, 86.97]",0.416,7.98e-11,4.2e-10,2.29,0.94,YES
1500,20,CA-WOA,DE,30,88.786,"[88.74, 88.83]",87.21,"[87.17, 87.24]",1.576,8.73e-50,3.02e-11,14.45,1.0,YES
1500,20,CA-WOA,GA,30,88.786,"[88.74, 88.83]",87.316,"[87.30, 87.34]",1.47,8.14e-41,3.02e-11,15.55,1.0,YES
1500,20,CA-WOA,GWO,30,88.786,"[88.74, 88.83]",86.959,"[86.92, 87.00]",1.827,2.22e-53,3.02e-11,15.2,1.0,YES
1500,20,CA-WOA,HHO,30,88.786,"[88.74, 88.83]",87.054,"[87.02, 87.08]",1.732,5.08e-50,3.02e-11,16.73,1.0,YES
1500,20,CA-WOA,PSO,30,88.786,"[88.74, 88.83]",86.858,"[86.82, 86.89]",1.928,4.98e-54,3.02e-11,17.94,1.0,YES
1500,20,CA-WOA,WOA,30,88.786,"[88.74, 88.83]",87.06,"[87.04, 87.08]",1.726,1.81e-46,3.02e-11,17.62,1.0,YES
2000,10,CA-WOA,DE,30,87.598,"[87.52, 87.68]",87.444,"[87.41, 87.48]",0.154,0.0011,0.00275,0.91,0.451,YES
2000,10,CA-WOA,GA,30,87.598,"[87.52, 87.68]",87.522,"[87.51, 87.53]",0.076,0.0734,0.109,0.48,0.242,no
2000,10,CA-WOA,GWO,30,87.598,"[87.52, 87.68]",87.247,"[87.23, 87.27]",0.351,1.1e-09,1.07e-09,2.18,0.918,YES
2000,10,CA-WOA,HHO,30,87.598,"[87.52, 87.68]",87.333,"[87.30, 87.36]",0.264,4.07e-07,6.52e-07,1.59,0.749,YES
2000,10,CA-WOA,PSO,30,87.598,"[87.52, 87.68]",87.174,"[87.16, 87.19]",0.424,1.42e-11,1.46e-10,2.65,0.964,YES
2000,10,CA-WOA,WOA,30,87.598,"[87.52, 87.68]",87.277,"[87.25, 87.30]",0.321,7.38e-09,8.48e-09,1.95,0.867,YES
2000,20,CA-WOA,DE,30,88.938,"[88.92, 88.96]",87.444,"[87.41, 87.48]",1.494,1.14e-53,3.02e-11,19.7,1.0,YES
2000,20,CA-WOA,GA,30,88.938,"[88.92, 88.96]",87.522,"[87.51, 87.53]",1.416,9.35e-56,3.02e-11,30.08,1.0,YES
2000,20,CA-WOA,GWO,30,88.938,"[88.92, 88.96]",87.247,"[87.23, 87.27]",1.691,8.42e-70,3.02e-11,30.17,1.0,YES
2000,20,CA-WOA,HHO,30,88.938,"[88.92, 88.96]",87.52,"[87.49, 87.55]",1.418,4.11e-60,3.02e-11,21.42,1.0,YES
2000,20,CA-WOA,PSO,30,88.938,"[88.92, 88.96]",87.174,"[87.16, 87.19]",1.764,1.92e-69,3.02e-11,33.39,1.0,YES
2000,20,CA-WOA,WOA,30,88.938,"[88.92, 88.96]",87.509,"[87.49, 87.53]",1.429,3.99e-64,3.02e-11,23.48,1.0,YES
2500,10,CA-WOA,DE,30,87.526,"[87.47, 87.59]",87.543,"[87.52, 87.56]",-0.017,0.577,0.29,-0.15,-0.16,no
2500,10,CA-WOA,GA,30,87.526,"[87.47, 87.59]",87.591,"[87.58, 87.60]",-0.065,0.0357,0.0199,-0.57,-0.351,YES
2500,10,CA-WOA,GWO,30,87.526,"[87.47, 87.59]",87.367,"[87.34, 87.39]",0.159,1.02e-05,4.35e-05,1.32,0.616,YES
2500,10,CA-WOA,HHO,30,87.526,"[87.47, 87.59]",87.429,"[87.41, 87.45]",0.097,0.00344,0.015,0.81,0.367,YES
2500,10,CA-WOA,PSO,30,87.526,"[87.47, 87.59]",87.382,"[87.36, 87.40]",0.144,3.82e-05,0.000268,1.22,0.549,YES
2500,10,CA-WOA,WOA,30,87.526,"[87.47, 87.59]",87.379,"[87.36, 87.40]",0.148,2.84e-05,0.000178,1.24,0.564,YES
2500,20,CA-WOA,DE,30,88.19,"[88.07, 88.31]",87.543,"[87.52, 87.56]",0.647,1.25e-11,1.78e-10,2.71,0.96,YES
2500,20,CA-WOA,GA,30,88.19,"[88.07, 88.31]",87.591,"[87.58, 87.60]",0.599,8.76e-11,5.57e-10,2.53,0.933,YES
2500,20,CA-WOA,GWO,30,88.19,"[88.07, 88.31]",87.367,"[87.34, 87.39]",0.823,2.47e-14,3.02e-11,3.44,1.0,YES
2500,20,CA-WOA,HHO,30,88.19,"[88.07, 88.31]",87.636,"[87.61, 87.66]",0.554,4.25e-10,4.2e-10,2.31,0.94,YES
2500,20,CA-WOA,PSO,30,88.19,"[88.07, 88.31]",87.382,"[87.36, 87.40]",0.808,4.84e-14,3.02e-11,3.39,1.0,YES
2500,20,CA-WOA,WOA,30,88.19,"[88.07, 88.31]",87.571,"[87.56, 87.59]",0.619,3.82e-11,3.82e-10,2.6,0.942,YES
3000,10,CA-WOA,DE,30,87.541,"[87.51, 87.58]",87.62,"[87.60, 87.64]",-0.079,0.000241,3.37e-05,-1.03,-0.624,YES
3000,10,CA-WOA,GA,30,87.541,"[87.51, 87.58]",87.694,"[87.68, 87.70]",-0.153,6.41e-10,1.56e-08,-2.21,-0.851,YES
3000,10,CA-WOA,GWO,30,87.541,"[87.51, 87.58]",87.455,"[87.44, 87.47]",0.085,5.14e-05,9.51e-06,1.17,0.667,YES
3000,10,CA-WOA,HHO,30,87.541,"[87.51, 87.58]",87.501,"[87.49, 87.52]",0.039,0.0411,0.255,0.55,0.172,mixed
3000,10,CA-WOA,PSO,30,87.541,"[87.51, 87.58]",87.46,"[87.45, 87.47]",0.08,0.000103,0.000158,1.12,0.569,YES
3000,10,CA-WOA,WOA,30,87.541,"[87.51, 87.58]",87.476,"[87.46, 87.49]",0.065,0.00146,0.00195,0.88,0.467,YES
3000,20,CA-WOA,DE,30,88.139,"[88.02, 88.26]",87.624,"[87.60, 87.65]",0.515,8.09e-10,1.78e-10,2.24,0.96,YES
3000,20,CA-WOA,GA,30,88.139,"[88.02, 88.26]",87.698,"[87.69, 87.71]",0.441,2.33e-08,2.92e-09,1.95,0.893,YES
3000,20,CA-WOA,GWO,30,88.139,"[88.02, 88.26]",87.464,"[87.45, 87.48]",0.675,1.51e-12,3.02e-11,2.96,1.0,YES
3000,20,CA-WOA,HHO,30,88.139,"[88.02, 88.26]",87.707,"[87.69, 87.72]",0.432,3.39e-08,7.77e-09,1.9,0.869,YES
3000,20,CA-WOA,PSO,30,88.139,"[88.02, 88.26]",87.462,"[87.45, 87.47]",0.677,1.65e-12,3.02e-11,2.99,1.0,YES
3000,20,CA-WOA,WOA,30,88.139,"[88.02, 88.26]",87.649,"[87.63, 87.67]",0.49,2.53e-09,3.16e-10,2.15,0.947,YES
