cap,N,M,seed_frac,mean,sd
False,1000,10,0.0,88.103,0.381
False,1000,10,0.1666666666666666,88.324,0.142
False,1000,10,0.3333333333333333,88.304,0.459
False,1000,10,0.5,88.298,0.162
False,1000,10,0.6666666666666666,88.308,0.131
False,1000,10,1.0,88.28,0.111
False,1000,20,0.0,88.616,0.037
False,1000,20,0.1666666666666666,88.616,0.044
False,1000,20,0.3333333333333333,88.709,0.228
False,1000,20,0.5,88.61,0.051
False,1000,20,0.6666666666666666,88.612,0.052
False,1000,20,1.0,88.599,0.062
False,3000,10,0.0,87.734,0.13
False,3000,10,0.1666666666666666,87.566,0.096
False,3000,10,0.3333333333333333,88.033,0.774
False,3000,10,0.5,87.611,0.109
False,3000,10,0.6666666666666666,87.621,0.101
False,3000,10,1.0,87.603,0.079
False,3000,20,0.0,88.686,0.166
False,3000,20,0.1666666666666666,87.727,0.267
False,3000,20,0.3333333333333333,88.469,0.721
False,3000,20,0.5,87.935,0.209
False,3000,20,0.6666666666666666,87.927,0.25
False,3000,20,1.0,87.995,0.222
True,1000,10,0.0,61.138,0.486
True,1000,10,0.1666666666666666,60.98,0.443
True,1000,10,0.3333333333333333,61.954,1.496
True,1000,10,0.5,60.907,0.406
True,1000,10,0.6666666666666666,60.993,0.407
True,1000,10,1.0,60.964,0.383
True,1000,20,0.0,75.643,0.081
True,1000,20,0.1666666666666666,75.633,0.104
True,1000,20,0.3333333333333333,75.831,0.49
True,1000,20,0.5,75.635,0.12
True,1000,20,0.6666666666666666,75.647,0.123
True,1000,20,1.0,75.596,0.138
True,3000,10,0.0,44.976,4.191
True,3000,10,0.1666666666666666,46.136,4.206
True,3000,10,0.3333333333333333,40.679,15.403
True,3000,10,0.5,47.705,3.562
True,3000,10,0.6666666666666666,49.514,2.101
True,3000,10,1.0,49.967,1.715
True,3000,20,0.0,54.227,1.099
True,3000,20,0.1666666666666666,54.014,0.92
True,3000,20,0.3333333333333333,56.441,5.871
True,3000,20,0.5,54.188,0.866
True,3000,20,0.6666666666666666,54.101,0.921
True,3000,20,1.0,53.489,0.651
