horizon_slots,model,MAE_mean,MAE_sd,RMSE_mean,MAPE_mean,MASE_mean
1,CNN-LSTM,4.0691,0.1587,5.2407,3.9725,0.841
1,Ensemble,3.4876,0.0725,4.5387,3.3995,0.7208
1,GRU,3.7681,0.1444,4.8727,3.729,0.7788
1,GradBoost,3.5157,0.0032,4.579,3.3952,0.7266
1,LSTM,3.7485,0.2376,4.8534,3.6656,0.7747
6,CNN-LSTM,16.0286,1.0358,20.2986,15.9288,0.7133
6,Ensemble,12.9129,0.5001,16.6706,12.8057,0.5747
6,GRU,13.8016,0.506,17.8795,13.8262,0.6142
6,GradBoost,13.1976,0.0287,17.1147,12.8867,0.5874
6,LSTM,14.2945,0.6362,18.34,14.2353,0.6362
12,CNN-LSTM,24.2074,0.9318,30.8165,24.5525,0.6641
12,Ensemble,19.1477,0.405,24.5514,19.1722,0.5253
12,GRU,19.8228,0.4047,25.4029,19.7962,0.5438
12,GradBoost,20.7979,0.0181,26.1983,20.521,0.5706
12,LSTM,20.6672,1.0338,26.3095,20.575,0.567
24,CNN-LSTM,31.3921,2.2088,39.2407,31.91,0.7082
24,Ensemble,26.0904,0.4768,32.9488,25.8479,0.5886
24,GRU,27.0322,0.7613,34.6748,26.2155,0.6098
24,GradBoost,27.0614,0.0254,34.2608,26.8991,0.6105
24,LSTM,29.1389,2.0481,36.5801,28.1505,0.6574
48,CNN-LSTM,42.9035,2.5664,55.1345,41.4993,1.1585
48,Ensemble,34.7779,1.2708,43.6865,33.4389,0.9391
48,GRU,33.6309,0.8357,42.277,31.4096,0.9081
48,GradBoost,33.389,0.0424,42.0676,32.7612,0.9016
48,LSTM,37.0438,1.5707,45.7937,35.3466,1.0003
