horizon_slots,model,MAE,RMSE,MAPE_%,MASE
1,Persistence,4.8385,6.4419,4.4916,1.0
1,SeasonalNaive-24h,37.0329,45.9667,37.4656,7.6538
1,SeasonalNaive-1week,37.6441,48.4799,36.4657,7.7801
6,Persistence,22.4695,29.3938,20.5362,1.0
6,SeasonalNaive-24h,37.0329,45.9667,37.4656,1.6481
6,SeasonalNaive-1week,37.6441,48.4799,36.4657,1.6753
12,Persistence,36.4516,46.117,34.3063,1.0
12,SeasonalNaive-24h,37.0329,45.9667,37.4656,1.0159
12,SeasonalNaive-1week,37.6441,48.4799,36.4657,1.0327
24,Persistence,44.3268,53.8575,43.6878,1.0
24,SeasonalNaive-24h,37.0329,45.9667,37.4656,0.8355
24,SeasonalNaive-1week,37.6441,48.4799,36.4657,0.8492
48,Persistence,37.0329,45.9667,37.4656,1.0
48,SeasonalNaive-24h,37.0329,45.9667,37.4656,1.0
48,SeasonalNaive-1week,37.6441,48.4799,36.4657,1.0165
