
=== forecast degradation ===
   N  M   cap  target_mae  realised_mae  carbon_red_mean  carbon_red_sd  gap_pp  oracle
1000 10 False           0         0.000           88.514          0.000   0.000  88.514
1000 10 False           5         4.956           88.628          0.197  -0.114  88.514
1000 10 False          10         9.912           88.588          0.221  -0.074  88.514
1000 10 False          20        19.810           88.391          0.321   0.123  88.514
1000 10 False          40        38.850           87.808          0.561   0.706  88.514
1000 10 False          80        71.556           87.377          0.444   1.137  88.514
3000 10  True           0         0.000           58.677          0.000   0.000  58.677
3000 10  True           5         4.956           57.739          3.648   0.939  58.677
3000 10  True          10         9.912           58.569          3.403   0.109  58.677
3000 10  True          20        19.810           56.601          3.400   2.076  58.677
3000 10  True          40        38.850           56.640          3.973   2.037  58.677
3000 10  True          80        71.556           50.001          4.831   8.676  58.677
3000 20 False           0         0.000           89.400          0.000   0.000  89.400
3000 20 False           5         4.956           89.252          0.099   0.148  89.400
3000 20 False          10         9.912           89.071          0.194   0.328  89.400
3000 20 False          20        19.810           88.846          0.297   0.554  89.400
3000 20 False          40        38.850           88.210          0.473   1.190  89.400
3000 20 False          80        71.556           87.850          0.419   1.549  89.400

Saved -> raw_F_degradation.csv, F_degradation_summary.csv
