wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,region,window,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,FIFO,-,0,0.3333333333333333,E26,16.49,95.45,39,5.850587,0.0,-615.6355,0.0,0,95.9591,15.66,5.308,8.9738,False,24.5,0,0.0,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,Consolidation,-,0,0.3333333333333333,E26,16.49,95.45,39,0.817537,86.0264,0.0,0.0,0,13.3091,2.1675,55.842,8.9738,False,24.5,0,0.0,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,Greedy(EDF+greenest),-,0,0.3333333333333333,E26,16.49,95.45,39,0.588143,89.9473,28.0591,0.0,0,12.6091,1.9249,65.886,20.2071,False,28.5,0,0.0016,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,VCC(Google),-,0,0.3333333333333333,E26,16.49,95.45,39,0.794838,86.4144,2.7766,0.0,0,13.3091,2.1675,58.749,0.0,True,24.5,0,0.0044,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,Threshold(WaitAwhile),-,0,0.3333333333333333,E26,16.49,95.45,39,0.713384,87.8066,12.7399,0.0,0,13.1091,2.1225,57.162,9.0262,False,24.5,0,0.0223,0.0
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,random,1,0.3333333333333333,E26,16.49,95.45,39,0.673966,88.4804,17.5614,0.0,0,13.0591,2.149,72.069,0.0,True,28.0,4840,2.7296,2.51
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,random,2,0.3333333333333333,E26,16.49,95.45,39,0.673961,88.4804,17.562,0.0,0,13.1091,2.1593,73.421,0.0,True,28.0,4840,2.7634,2.66
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,random,3,0.3333333333333333,E26,16.49,95.45,39,0.67822,88.4077,17.0411,0.0,0,13.2091,2.1852,70.564,0.0,True,28.5,4840,2.7437,2.78
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,carbon,8,0.3333333333333333,E26,16.49,95.45,39,0.668383,88.5758,18.2443,0.0,0,13.0591,2.1445,73.513,0.0,True,27.5,4840,2.7921,2.42
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,carbon,9,0.3333333333333333,E26,16.49,95.45,39,0.660359,88.713,19.2259,0.0,0,13.1591,2.1351,70.034,0.0,True,28.5,4840,2.8052,2.56
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,carbon,10,0.3333333333333333,E26,16.49,95.45,39,0.677089,88.427,17.1794,0.0,0,13.2591,2.1807,70.041,0.0,True,28.5,4840,2.7643,2.36
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,FIFO,-,0,0.3333333333333333,E26,16.49,95.45,39,5.850587,0.0,-615.6355,0.0,0,95.9591,15.66,5.308,0.0,True,24.5,0,0.0,0.0
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,Consolidation,-,0,0.3333333333333333,E26,16.49,95.45,39,0.817537,86.0264,0.0,0.0,0,13.3091,2.1675,55.842,0.0,True,24.5,0,0.0,0.0
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,Greedy(EDF+greenest),-,0,0.3333333333333333,E26,16.49,95.45,39,0.588143,89.9473,28.0591,0.0,0,12.6091,1.9249,65.886,0.0,True,28.5,0,0.0001,0.0
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,VCC(Google),-,0,0.3333333333333333,E26,16.49,95.45,39,0.817537,86.0264,0.0,0.0,0,13.3091,2.1675,55.842,0.0,True,24.5,0,0.003,0.0
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,Threshold(WaitAwhile),-,0,0.3333333333333333,E26,16.49,95.45,39,0.713384,87.8066,12.7399,0.0,0,13.1091,2.1225,57.162,0.0,True,24.5,0,0.015,0.0
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,random,1,0.3333333333333333,E26,16.49,95.45,39,0.661349,88.696,19.1047,0.0,0,13.3091,2.2052,55.929,0.0,True,28.5,4840,2.5865,2.33
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,random,2,0.3333333333333333,E26,16.49,95.45,39,0.66047,88.7111,19.2123,0.0,0,13.2091,2.1921,58.899,0.0,True,28.5,4840,2.638,2.54
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,random,3,0.3333333333333333,E26,16.49,95.45,39,0.6613,88.6969,19.1107,0.0,0,13.3091,2.2047,56.443,0.0,True,28.5,4840,2.6093,2.48
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,random,4,0.3333333333333333,E26,16.49,95.45,39,0.65745,88.7627,19.5817,0.0,0,13.2091,2.181,58.156,0.0,True,28.5,4840,2.5902,2.52
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,random,5,0.3333333333333333,E26,16.49,95.45,39,0.661357,88.6959,19.1038,0.0,0,13.3091,2.2052,55.949,0.0,True,28.5,4840,2.6271,2.27
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,random,6,0.3333333333333333,E26,16.49,95.45,39,0.661323,88.6965,19.1079,0.0,0,13.3091,2.2052,55.993,0.0,True,28.5,4840,2.6294,2.4
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,random,7,0.3333333333333333,E26,16.49,95.45,39,0.659338,88.7304,19.3508,0.0,0,13.2091,2.1869,59.923,0.0,True,28.5,4840,2.6775,2.54
google,1500,20,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,WOA,random,8,0.3333333333333333,E26,16.49,95.45,39,0.659127,88.734,19.3766,0.0,0,13.2591,2.1972,57.321,0.0,True,28.0,4840,2.6666,2.26
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,PSO,random,8,0.3333333333333333,E26,16.49,95.45,39,0.699631,88.0417,14.4222,0.0,0,12.9591,2.1499,78.416,0.0,True,26.0,4840,2.6842,4.47
google,1500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,0,PSO,random,9,0.3333333333333333,E26,16.49,95.45,39,0.705687,87.9382,13.6813,0.0,0,12.9591,2.1362,77.837,0.0,True,26.5,4840,2.6756,4.17
