wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,mmin,region,window,fleet,startup,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,FIFO,-,0,0.3333333333333333,E29,5.26,31.19,35,2.825576,0.0,-499.1141,0.0,0,31.5391,5.1517,5.275,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,Consolidation,-,0,0.3333333333333333,E29,5.26,31.19,35,0.471626,83.3087,0.0,0.0,0,5.1891,0.8542,43.373,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,Greedy(EDF+greenest),-,0,0.3333333333333333,E29,5.26,31.19,35,0.353564,87.487,25.033,0.0,0,4.6891,0.7568,49.264,0.0,True,26.0,0,0.0001,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,VCC(Google),-,0,0.3333333333333333,E29,5.26,31.19,35,0.471626,83.3087,0.0,0.0,0,5.1891,0.8542,43.373,0.0,True,24.5,0,0.0016,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,Threshold(WaitAwhile),-,0,0.3333333333333333,E29,5.26,31.19,35,0.438825,84.4695,6.9547,0.0,0,5.0391,0.8093,46.736,0.0,True,25.5,0,0.007,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,random,1,0.3333333333333333,E29,5.26,31.19,35,0.451271,84.0291,4.3159,0.0,0,5.0391,0.8477,56.288,0.0,True,24.5,4840,1.2799,1.09
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,random,2,0.3333333333333333,E29,5.26,31.19,35,0.437537,84.5151,7.2278,0.0,0,5.1391,0.8539,44.11,0.0,True,28.5,4840,1.255,1.06
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,random,3,0.3333333333333333,E29,5.26,31.19,35,0.451881,84.0075,4.1866,0.0,0,5.0391,0.8235,47.209,0.0,True,24.5,4840,1.2371,1.01
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,10,0.3333333333333333,E29,5.26,31.19,35,0.344917,87.793,26.8663,0.0,0,4.5891,0.7418,54.434,0.0,True,26.0,4840,1.2825,1.02
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,FIFO,-,0,0.3333333333333333,E29,5.26,31.19,35,3.180388,0.0,-552.8552,0.0,0,35.5391,5.7761,5.275,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,Consolidation,-,0,0.3333333333333333,E29,5.26,31.19,35,0.487151,84.6827,0.0,0.0,0,5.3641,0.8805,43.373,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,Greedy(EDF+greenest),-,0,0.3333333333333333,E29,5.26,31.19,35,0.369151,88.3929,24.2224,0.0,0,4.9141,0.7905,49.264,0.0,True,26.0,0,0.0001,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,VCC(Google),-,0,0.3333333333333333,E29,5.26,31.19,35,0.487151,84.6827,0.0,0.0,0,5.3641,0.8805,43.373,0.0,True,24.5,0,0.001,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,Threshold(WaitAwhile),-,0,0.3333333333333333,E29,5.26,31.19,35,0.455713,85.6712,6.4534,0.0,0,5.2266,0.8374,46.736,0.0,True,25.5,0,0.0051,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,random,1,0.3333333333333333,E29,5.26,31.19,35,0.449815,85.8566,7.6641,0.0,0,5.3016,0.8802,44.227,0.0,True,28.5,4840,1.3879,1.01
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,random,2,0.3333333333333333,E29,5.26,31.19,35,0.449816,85.8566,7.6639,0.0,0,5.3016,0.8802,44.174,0.0,True,28.5,4840,1.3858,0.98
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,WOA,carbon,8,0.3333333333333333,E29,5.26,31.19,35,0.396521,90.6587,25.707,0.0,0,5.2391,0.8393,52.412,0.0,True,26.0,4840,1.4268,1.01
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,WOA,carbon,9,0.3333333333333333,E29,5.26,31.19,35,0.396914,90.6495,25.6333,0.0,0,5.2391,0.8393,55.718,0.0,True,26.0,4840,1.3864,1.07
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,WOA,carbon,10,0.3333333333333333,E29,5.26,31.19,35,0.39091,90.7909,26.7583,0.0,0,5.1391,0.8243,56.349,0.0,True,26.0,4840,1.3972,0.99
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,none,FIFO,-,0,0.3333333333333333,E29,5.26,31.19,35,1.328865,0.0,-214.5193,0.0,0,14.8399,2.5772,5.275,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,none,Consolidation,-,0,0.3333333333333333,E29,5.26,31.19,35,0.422507,68.2054,0.0,0.0,0,4.6153,0.7679,43.373,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,none,Greedy(EDF+greenest),-,0,0.3333333333333333,E29,5.26,31.19,35,0.309294,76.7249,26.7954,0.0,0,4.0719,0.6636,49.264,0.0,True,26.0,0,0.0002,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,none,VCC(Google),-,0,0.3333333333333333,E29,5.26,31.19,35,0.422507,68.2054,0.0,0.0,0,4.6153,0.7679,43.373,0.0,True,24.5,0,0.0016,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,mixed,none,Threshold(WaitAwhile),-,0,0.3333333333333333,E29,5.26,31.19,35,0.37605,71.7014,10.9954,0.0,0,4.3403,0.7038,46.736,0.0,True,25.5,0,0.0067,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,carbon,9,0.3333333333333333,E29,5.26,31.19,35,0.361669,88.6282,25.7583,0.0,0,4.8391,0.7793,50.328,0.0,True,26.0,4840,1.4813,1.01
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,low,WOA,carbon,10,0.3333333333333333,E29,5.26,31.19,35,0.354248,88.8615,27.2816,0.0,0,4.7016,0.7587,56.152,0.0,True,26.0,4840,1.4567,1.06
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,FIFO,-,0,0.3333333333333333,E29,5.26,31.19,35,4.244826,0.0,-695.3198,0.0,0,47.5391,7.6492,5.275,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,Consolidation,-,0,0.3333333333333333,E29,5.26,31.19,35,0.533726,87.4264,0.0,0.0,0,5.8891,0.9592,43.373,0.0,True,24.5,0,0.0,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,Greedy(EDF+greenest),-,0,0.3333333333333333,E29,5.26,31.19,35,0.415914,90.2019,22.0735,0.0,0,5.5891,0.8918,49.264,0.0,True,26.0,0,0.0001,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,VCC(Google),-,0,0.3333333333333333,E29,5.26,31.19,35,0.533726,87.4264,0.0,0.0,0,5.8891,0.9592,43.373,0.0,True,24.5,0,0.0015,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,Threshold(WaitAwhile),-,0,0.3333333333333333,E29,5.26,31.19,35,0.506375,88.0708,5.1244,0.0,0,5.7891,0.9218,46.736,0.0,True,25.5,0,0.0064,0.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,high,WOA,random,1,0.3333333333333333,E29,5.26,31.19,35,0.466914,89.0004,12.5179,0.0,0,5.1891,0.8659,56.031,0.0,True,25.0,4840,1.451,1.06
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,2,0.3333333333333333,E29,5.26,31.19,35,0.342044,87.8947,27.4756,0.0,0,4.5391,0.7343,54.958,0.0,True,26.0,4840,1.2962,0.99
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,3,0.3333333333333333,E29,5.26,31.19,35,0.341864,87.9011,27.5138,0.0,0,4.5391,0.7343,54.455,0.0,True,26.0,4840,1.2352,1.01
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,4,0.3333333333333333,E29,5.26,31.19,35,0.34556,87.7703,26.73,0.0,0,4.5891,0.7418,53.95,0.0,True,26.0,4840,1.2382,1.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,5,0.3333333333333333,E29,5.26,31.19,35,0.345459,87.7739,26.7515,0.0,0,4.5891,0.7418,53.777,0.0,True,26.0,4840,1.236,1.04
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,6,0.3333333333333333,E29,5.26,31.19,35,0.345212,87.7826,26.8037,0.0,0,4.5891,0.7418,52.769,0.0,True,26.0,4840,1.2342,0.96
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,7,0.3333333333333333,E29,5.26,31.19,35,0.344802,87.7971,26.8907,0.0,0,4.5891,0.7418,53.535,0.0,True,26.0,4840,1.2404,1.0
google,500,10,linear,True,False,10.0,0.4,0.3,0.3,0,0,UK,,uniform,none,WOA,carbon,8,0.3333333333333333,E29,5.26,31.19,35,0.345186,87.7835,26.8093,0.0,0,4.5891,0.7418,52.254,0.0,True,26.0,4840,1.2422,0.93
