horizon_slots,horizon_h,model,repeat,MAE,RMSE,MAPE_%,MASE
1,0.5,Persistence,0,4.8385,6.4419,4.4916,1.0
1,0.5,SeasonalNaive-24h,0,37.0329,45.9667,37.4656,7.6538
1,0.5,SeasonalNaive-1week,0,37.6441,48.4799,36.4657,7.7801
1,0.5,LSTM,1,3.6069,4.6529,3.5216,0.7455
1,0.5,GRU,1,3.7837,4.9139,3.627,0.782
1,0.5,CNN-LSTM,1,4.3271,5.4542,4.1857,0.8943
1,0.5,GradBoost,1,3.5169,4.5817,3.3949,0.7268
1,0.5,Ensemble,1,3.56,4.6221,3.4199,0.7358
1,0.5,LSTM,2,3.5748,4.6626,3.5377,0.7388
1,0.5,GRU,2,3.615,4.7191,3.6512,0.7471
1,0.5,CNN-LSTM,2,4.0462,5.2827,3.9662,0.8362
1,0.5,GradBoost,2,3.5129,4.5775,3.3913,0.726
1,0.5,Ensemble,2,3.3744,4.4256,3.3076,0.6974
1,0.5,LSTM,3,4.1551,5.3318,3.9141,0.8588
1,0.5,GRU,3,3.9191,4.9975,3.858,0.81
1,0.5,CNN-LSTM,3,3.9283,5.1266,3.874,0.8119
1,0.5,GradBoost,3,3.5159,4.5781,3.398,0.7267
1,0.5,Ensemble,3,3.5138,4.59,3.4225,0.7262
1,0.5,LSTM,4,3.6474,4.7662,3.5913,0.7538
1,0.5,GRU,4,3.897,5.0321,3.9211,0.8054
1,0.5,CNN-LSTM,4,4.0903,5.2441,3.9272,0.8454
1,0.5,GradBoost,4,3.5126,4.5733,3.3926,0.726
1,0.5,Ensemble,4,3.5277,4.5754,3.4481,0.7291
1,0.5,LSTM,5,3.7581,4.8536,3.7631,0.7767
1,0.5,GRU,5,3.6256,4.701,3.5876,0.7493
1,0.5,CNN-LSTM,5,3.9536,5.0958,3.9092,0.8171
1,0.5,GradBoost,5,3.5203,4.5845,3.399,0.7276
1,0.5,Ensemble,5,3.4619,4.4802,3.3994,0.7155
6,3.0,Persistence,0,22.4695,29.3938,20.5362,1.0
6,3.0,SeasonalNaive-24h,0,37.0329,45.9667,37.4656,1.6481
6,3.0,SeasonalNaive-1week,0,37.6441,48.4799,36.4657,1.6753
6,3.0,LSTM,1,15.1365,19.7121,14.9917,0.6736
6,3.0,GRU,1,14.339,18.6992,14.7468,0.6382
6,3.0,CNN-LSTM,1,16.8348,20.8932,16.5826,0.7492
6,3.0,GradBoost,1,13.2095,17.1172,12.907,0.5879
6,3.0,Ensemble,1,13.5675,17.2622,13.5341,0.6038
6,3.0,LSTM,2,14.1311,18.2102,14.3076,0.6289
6,3.0,GRU,2,13.1472,17.061,13.2103,0.5851
6,3.0,CNN-LSTM,2,17.389,22.2157,17.0914,0.7739
6,3.0,GradBoost,2,13.1748,17.0887,12.8589,0.5863
6,3.0,Ensemble,2,13.3138,17.1726,13.225,0.5925
6,3.0,LSTM,3,14.4661,18.3138,14.2595,0.6438
6,3.0,GRU,3,13.52,17.6634,13.4254,0.6017
6,3.0,CNN-LSTM,3,15.079,19.4837,15.2276,0.6711
6,3.0,GradBoost,3,13.1692,17.0695,12.8377,0.5861
6,3.0,Ensemble,3,12.4247,16.2556,12.3273,0.553
6,3.0,LSTM,4,13.3732,17.2724,13.1862,0.5952
6,3.0,GRU,4,13.7286,17.6898,13.4023,0.611
6,3.0,CNN-LSTM,4,15.1478,19.2333,15.0298,0.6741
6,3.0,GradBoost,4,13.2402,17.1676,12.9331,0.5893
6,3.0,Ensemble,4,12.5515,16.2483,12.3675,0.5586
6,3.0,LSTM,5,14.3655,18.1916,14.4315,0.6393
6,3.0,GRU,5,14.2731,18.284,14.346,0.6352
6,3.0,CNN-LSTM,5,15.6925,19.6671,15.7125,0.6984
6,3.0,GradBoost,5,13.1943,17.1307,12.8969,0.5872
6,3.0,Ensemble,5,12.707,16.4142,12.5745,0.5655
12,6.0,Persistence,0,36.4516,46.117,34.3063,1.0
12,6.0,SeasonalNaive-24h,0,37.0329,45.9667,37.4656,1.0159
12,6.0,SeasonalNaive-1week,0,37.6441,48.4799,36.4657,1.0327
12,6.0,LSTM,1,20.5122,26.5752,19.9907,0.5627
12,6.0,GRU,1,19.2499,24.8792,18.6872,0.5281
12,6.0,CNN-LSTM,1,23.9167,29.7779,23.2678,0.6561
12,6.0,GradBoost,1,20.7805,26.1751,20.5012,0.5701
12,6.0,Ensemble,1,18.99,24.2381,18.6415,0.521
12,6.0,LSTM,2,19.3515,24.4192,19.5429,0.5309
12,6.0,GRU,2,19.7369,25.1301,20.1358,0.5415
12,6.0,CNN-LSTM,2,23.8267,30.5347,23.6494,0.6537
12,6.0,GradBoost,2,20.785,26.1804,20.5025,0.5702
12,6.0,Ensemble,2,18.8326,24.2406,18.8243,0.5166
12,6.0,LSTM,3,20.4204,26.346,20.9785,0.5602
12,6.0,GRU,3,19.7603,25.0832,20.1662,0.5421
12,6.0,CNN-LSTM,3,23.1015,29.0521,24.4408,0.6338
12,6.0,GradBoost,3,20.8268,26.2306,20.551,0.5714
12,6.0,Ensemble,3,18.7538,24.1021,19.2229,0.5145
12,6.0,LSTM,4,22.2274,28.077,21.5732,0.6098
12,6.0,GRU,4,20.35,26.0255,20.115,0.5583
12,6.0,CNN-LSTM,4,24.626,31.9841,24.9855,0.6756
12,6.0,GradBoost,4,20.7985,26.2035,20.5288,0.5706
12,6.0,Ensemble,4,19.6052,25.1656,19.6443,0.5378
12,6.0,LSTM,5,20.8244,26.1303,20.7899,0.5713
12,6.0,GRU,5,20.017,25.8964,19.8766,0.5491
12,6.0,CNN-LSTM,5,25.5659,32.7339,26.4192,0.7014
12,6.0,GradBoost,5,20.7987,26.2017,20.5215,0.5706
12,6.0,Ensemble,5,19.5571,25.0106,19.5282,0.5365
24,12.0,Persistence,0,44.3268,53.8575,43.6878,1.0
24,12.0,SeasonalNaive-24h,0,37.0329,45.9667,37.4656,0.8355
24,12.0,SeasonalNaive-1week,0,37.6441,48.4799,36.4657,0.8492
24,12.0,LSTM,1,28.2077,35.0868,25.9044,0.6364
24,12.0,GRU,1,27.0152,35.0205,24.4697,0.6095
24,12.0,CNN-LSTM,1,28.5062,35.9515,29.7451,0.6431
24,12.0,GradBoost,1,27.0254,34.2438,26.8484,0.6097
24,12.0,Ensemble,1,25.4052,32.0291,24.8591,0.5731
24,12.0,LSTM,2,32.4986,39.4269,31.8059,0.7332
24,12.0,GRU,2,28.0403,35.5485,27.0692,0.6326
24,12.0,CNN-LSTM,2,34.3947,42.3605,33.6578,0.7759
24,12.0,GradBoost,2,27.0466,34.2279,26.878,0.6102
24,12.0,Ensemble,2,26.7255,33.7532,25.9849,0.6029
24,12.0,LSTM,3,27.1047,33.2476,27.237,0.6115
24,12.0,GRU,3,26.344,33.5931,27.4857,0.5943
24,12.0,CNN-LSTM,3,32.5062,40.8414,32.8713,0.7333
24,12.0,GradBoost,3,27.0866,34.2888,26.9419,0.6111
24,12.0,Ensemble,3,25.9959,32.8933,26.3383,0.5865
24,12.0,LSTM,4,29.3937,38.734,28.2204,0.6631
24,12.0,GRU,4,27.5062,35.1035,25.8617,0.6205
24,12.0,CNN-LSTM,4,30.4824,38.4423,30.575,0.6877
24,12.0,GradBoost,4,27.0669,34.2628,26.9039,0.6106
24,12.0,Ensemble,4,26.2556,33.2488,25.5304,0.5923
24,12.0,LSTM,5,28.49,36.4051,27.5848,0.6427
24,12.0,GRU,5,26.2552,34.1082,26.191,0.5923
24,12.0,CNN-LSTM,5,31.071,38.6079,32.7008,0.701
24,12.0,GradBoost,5,27.0813,34.2806,26.9232,0.6109
24,12.0,Ensemble,5,26.0696,32.8196,26.527,0.5881
48,24.0,Persistence,0,37.0329,45.9667,37.4656,1.0
48,24.0,SeasonalNaive-24h,0,37.0329,45.9667,37.4656,1.0
48,24.0,SeasonalNaive-1week,0,37.6441,48.4799,36.4657,1.0165
48,24.0,LSTM,1,37.6057,46.5065,36.3562,1.0155
48,24.0,GRU,1,34.0369,43.0221,31.6202,0.9191
48,24.0,CNN-LSTM,1,43.2824,56.3163,43.5038,1.1688
48,24.0,GradBoost,1,33.3589,42.0528,32.7324,0.9008
48,24.0,Ensemble,1,34.5384,44.0751,33.7725,0.9326
48,24.0,LSTM,2,37.718,47.4838,35.0694,1.0185
48,24.0,GRU,2,33.3502,41.6038,30.6597,0.9006
48,24.0,CNN-LSTM,2,42.7191,54.8533,41.2424,1.1535
48,24.0,GradBoost,2,33.342,42.0456,32.708,0.9003
48,24.0,Ensemble,2,33.6969,42.9288,32.1828,0.9099
48,24.0,LSTM,3,34.3685,42.1665,34.9319,0.9281
48,24.0,GRU,3,33.9429,42.4866,33.8042,0.9166
48,24.0,CNN-LSTM,3,41.0776,53.0867,40.355,1.1092
48,24.0,GradBoost,3,33.4462,42.0965,32.8287,0.9031
48,24.0,Ensemble,3,34.7037,43.5073,34.3462,0.9371
48,24.0,LSTM,4,37.091,45.399,34.4983,1.0016
48,24.0,GRU,4,32.3266,40.7641,29.6911,0.8729
48,24.0,CNN-LSTM,4,40.4404,52.8355,37.947,1.092
48,24.0,GradBoost,4,33.4162,42.078,32.7906,0.9023
48,24.0,Ensemble,4,34.0165,42.5491,32.0586,0.9185
48,24.0,LSTM,5,38.436,47.4129,35.8772,1.0379
48,24.0,GRU,5,34.4978,43.5083,31.2727,0.9315
48,24.0,CNN-LSTM,5,46.9982,58.5809,44.4481,1.2691
48,24.0,GradBoost,5,33.3818,42.065,32.7465,0.9014
48,24.0,Ensemble,5,36.9339,45.372,34.8343,0.9973
