N,M,pen,scheduler,seed,forecast_mae,carbon_kg,carbon_red_%,sla_%,nfe
1000,10,0.0,reactive,1,25.351,1.223792,85.0402,0.0,0
1000,10,0.0,forecast,1,25.351,1.070888,86.9093,0.0,4840
1000,10,0.0,oracle,1,25.351,1.015029,87.5922,0.0,4840
1000,10,0.0,reactive,2,25.351,1.223792,85.0402,0.0,0
1000,10,0.0,forecast,2,25.351,1.078,86.8224,0.0,4840
1000,10,0.0,oracle,2,25.351,1.036788,87.3262,0.0,4840
1000,10,0.0,reactive,3,25.351,1.223792,85.0402,0.0,0
1000,10,0.0,forecast,3,25.351,1.057128,87.0775,0.0,4840
1000,10,0.0,oracle,3,25.351,1.036432,87.3305,0.0,4840
1000,10,0.0,reactive,4,25.351,1.223792,85.0402,0.0,0
1000,10,0.0,forecast,4,25.351,1.066723,86.9602,0.0,4840
1000,10,0.0,oracle,4,25.351,1.018901,87.5448,0.0,4840
1000,10,0.0,reactive,5,25.351,1.223792,85.0402,0.0,0
1000,10,0.0,forecast,5,25.351,1.088234,86.6973,0.0,4840
1000,10,0.0,oracle,5,25.351,1.036905,87.3247,0.0,4840
1000,10,0.0,reactive,6,25.351,1.223792,85.0402,0.0,0
1000,10,0.0,forecast,6,25.351,1.065413,86.9762,0.0,4840
1000,10,0.0,oracle,6,25.351,1.003169,87.7371,0.0,4840
1000,10,0.0,reactive,7,25.351,1.223792,85.0402,0.0,0
1000,10,0.0,forecast,7,25.351,1.068524,86.9382,0.0,4840
1000,10,0.0,oracle,7,25.351,1.023068,87.4939,0.0,4840
1000,10,0.0,reactive,8,25.351,1.223792,85.0402,0.0,0
1000,10,0.0,forecast,8,25.351,1.072825,86.8856,0.0,4840
1000,10,0.0,oracle,8,25.351,1.011465,87.6357,0.0,4840
1000,10,0.0,reactive,9,25.351,1.223792,85.0402,0.0,0
1000,10,0.0,forecast,9,25.351,1.066582,86.962,0.0,4840
1000,10,0.0,oracle,9,25.351,1.034266,87.357,0.0,4840
1000,10,0.0,reactive,10,25.351,1.223792,85.0402,0.0,0
1000,10,0.0,forecast,10,25.351,1.067411,86.9518,0.0,4840
1000,10,0.0,oracle,10,25.351,1.022638,87.4991,0.0,4840
3000,20,0.0,reactive,1,25.351,3.26358,86.7783,0.0,0
3000,20,0.0,forecast,1,25.351,2.941339,88.0838,0.0,4840
3000,20,0.0,oracle,1,25.351,2.835462,88.5127,0.0,4840
3000,20,0.0,reactive,2,25.351,3.26358,86.7783,0.0,0
3000,20,0.0,forecast,2,25.351,2.970788,87.9645,0.0,4840
3000,20,0.0,oracle,2,25.351,2.861415,88.4076,0.0,4840
3000,20,0.0,reactive,3,25.351,3.26358,86.7783,0.0,0
3000,20,0.0,forecast,3,25.351,2.965418,87.9862,0.0,4840
3000,20,0.0,oracle,3,25.351,2.864265,88.396,0.0,4840
3000,20,0.0,reactive,4,25.351,3.26358,86.7783,0.0,0
3000,20,0.0,forecast,4,25.351,2.963885,87.9924,0.0,4840
3000,20,0.0,oracle,4,25.351,2.842571,88.4839,0.0,4840
3000,20,0.0,reactive,5,25.351,3.26358,86.7783,0.0,0
3000,20,0.0,forecast,5,25.351,2.935026,88.1094,0.0,4840
3000,20,0.0,oracle,5,25.351,2.855689,88.4308,0.0,4840
3000,20,0.0,reactive,6,25.351,3.26358,86.7783,0.0,0
3000,20,0.0,forecast,6,25.351,2.97412,87.951,0.0,4840
3000,20,0.0,oracle,6,25.351,2.852198,88.4449,0.0,4840
3000,20,0.0,reactive,7,25.351,3.26358,86.7783,0.0,0
3000,20,0.0,forecast,7,25.351,2.975111,87.947,0.0,4840
3000,20,0.0,oracle,7,25.351,2.850086,88.4535,0.0,4840
3000,20,0.0,reactive,8,25.351,3.26358,86.7783,0.0,0
3000,20,0.0,forecast,8,25.351,2.968749,87.9727,0.0,4840
3000,20,0.0,oracle,8,25.351,2.828275,88.5418,0.0,4840
3000,20,0.0,reactive,9,25.351,3.26358,86.7783,0.0,0
3000,20,0.0,forecast,9,25.351,2.965441,87.9861,0.0,4840
3000,20,0.0,oracle,9,25.351,2.866307,88.3878,0.0,4840
3000,20,0.0,reactive,10,25.351,3.26358,86.7783,0.0,0
3000,20,0.0,forecast,10,25.351,2.969935,87.9679,0.0,4840
3000,20,0.0,oracle,10,25.351,2.860637,88.4107,0.0,4840
3000,10,10.0,reactive,1,25.351,3.26358,86.7783,0.0,0
3000,10,10.0,forecast,1,25.351,3.138717,87.2841,0.0,4840
3000,10,10.0,oracle,1,25.351,3.142609,87.2684,0.0,4840
3000,10,10.0,reactive,2,25.351,3.26358,86.7783,0.0,0
3000,10,10.0,forecast,2,25.351,3.163344,87.1844,0.0,4840
3000,10,10.0,oracle,2,25.351,3.14712,87.2501,0.0,4840
3000,10,10.0,reactive,3,25.351,3.26358,86.7783,0.0,0
3000,10,10.0,forecast,3,25.351,3.17063,87.1548,0.0,4840
3000,10,10.0,oracle,3,25.351,3.135709,87.2963,0.0,4840
3000,10,10.0,reactive,4,25.351,3.26358,86.7783,0.0,0
3000,10,10.0,forecast,4,25.351,3.118832,87.3647,0.0,4840
3000,10,10.0,oracle,4,25.351,3.141879,87.2713,0.0,4840
3000,10,10.0,reactive,5,25.351,3.26358,86.7783,0.0,0
3000,10,10.0,forecast,5,25.351,3.107715,87.4097,0.0,4840
