N,M,pen,target_mae,realised_mae,seed,carbon_red_%,oracle_red_%,gap_pp,sla_%
1000,10,0.0,0,0.0,1,88.5139,88.5139,0.0,0.0
1000,10,0.0,0,0.0,2,88.5139,88.5139,0.0,0.0
1000,10,0.0,0,0.0,3,88.5139,88.5139,0.0,0.0
1000,10,0.0,0,0.0,4,88.5139,88.5139,0.0,0.0
1000,10,0.0,0,0.0,5,88.5139,88.5139,0.0,0.0
1000,10,0.0,0,0.0,6,88.5139,88.5139,0.0,0.0
1000,10,0.0,0,0.0,7,88.5139,88.5139,0.0,0.0
1000,10,0.0,0,0.0,8,88.5139,88.5139,0.0,0.0
1000,10,0.0,0,0.0,9,88.5139,88.5139,0.0,0.0
1000,10,0.0,0,0.0,10,88.5139,88.5139,0.0,0.0
1000,10,0.0,5,4.803,1,88.8671,88.5139,-0.3532,0.0
1000,10,0.0,5,4.395,2,88.1997,88.5139,0.3143,0.0
1000,10,0.0,5,4.768,3,88.568,88.5139,-0.054,0.0
1000,10,0.0,5,4.977,4,88.502,88.5139,0.0119,0.0
1000,10,0.0,5,4.84,5,88.7421,88.5139,-0.2281,0.0
1000,10,0.0,5,4.968,6,88.5753,88.5139,-0.0614,0.0
1000,10,0.0,5,5.355,7,88.8947,88.5139,-0.3808,0.0
1000,10,0.0,5,5.345,8,88.6709,88.5139,-0.157,0.0
1000,10,0.0,5,5.217,9,88.6242,88.5139,-0.1103,0.0
1000,10,0.0,5,4.894,10,88.6314,88.5139,-0.1175,0.0
1000,10,0.0,10,9.607,1,88.5053,88.5139,0.0086,0.0
1000,10,0.0,10,8.789,2,88.4479,88.5139,0.066,0.0
1000,10,0.0,10,9.537,3,88.0841,88.5139,0.4298,0.0
1000,10,0.0,10,9.954,4,88.6465,88.5139,-0.1326,0.0
1000,10,0.0,10,9.68,5,88.6778,88.5139,-0.1638,0.0
1000,10,0.0,10,9.936,6,88.6727,88.5139,-0.1587,0.0
1000,10,0.0,10,10.71,7,88.5744,88.5139,-0.0605,0.0
1000,10,0.0,10,10.689,8,88.7733,88.5139,-0.2594,0.0
1000,10,0.0,10,10.434,9,88.9121,88.5139,-0.3981,0.0
1000,10,0.0,10,9.789,10,88.5876,88.5139,-0.0737,0.0
1000,10,0.0,20,19.214,1,88.1454,88.5139,0.3686,0.0
1000,10,0.0,20,17.517,2,87.7437,88.5139,0.7703,0.0
1000,10,0.0,20,19.054,3,88.003,88.5139,0.511,0.0
1000,10,0.0,20,19.908,4,88.6107,88.5139,-0.0968,0.0
1000,10,0.0,20,19.359,5,88.5578,88.5139,-0.0438,0.0
1000,10,0.0,20,19.841,6,88.4009,88.5139,0.113,0.0
1000,10,0.0,20,21.42,7,88.6496,88.5139,-0.1356,0.0
1000,10,0.0,20,21.379,8,88.7332,88.5139,-0.2192,0.0
