wl,N,M,power,hard,cap,pen,alpha,beta,gamma,subset,method,init,seed,seed_frac,exp,peak_demand,total_load,arrival_slots,carbon_kg,carbon_red_vs_naive_%,carbon_red_vs_consol_%,sla_%,viol_n,energy_kwh,cost_gbp,util_%,overload_%,feasible,makespan_h,nfe,runtime_s,peak_mem_mb
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,3,0.3333333333333333,GABUG,5.26,31.19,35,0.556778,80.2951,-18.0551,59.6,298,5.6891,0.9735,46.158,0.0,True,33.0,40,0.0486,0.78
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,4,0.3333333333333333,GABUG,5.26,31.19,35,0.555146,80.3528,-17.709,59.8,299,5.6891,0.9625,46.351,0.0,True,33.0,40,0.0441,0.77
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,5,0.3333333333333333,GABUG,5.26,31.19,35,0.550459,80.5187,-16.7151,60.2,301,5.6891,0.9679,46.163,0.0,True,33.0,40,0.0409,0.77
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,6,0.3333333333333333,GABUG,5.26,31.19,35,0.569219,79.8548,-20.6929,59.0,295,5.8891,1.0103,43.056,0.0,True,34.5,40,0.0408,0.77
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,7,0.3333333333333333,GABUG,5.26,31.19,35,0.553088,80.4256,-17.2727,57.0,285,5.7391,0.9705,45.299,0.0,True,36.5,40,0.0466,0.77
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,8,0.3333333333333333,GABUG,5.26,31.19,35,0.558126,80.2473,-18.3409,61.0,305,5.7391,0.9732,45.635,0.0,True,34.5,40,0.0411,0.77
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,9,0.3333333333333333,GABUG,5.26,31.19,35,0.560411,80.1665,-18.8255,60.0,300,5.7891,0.9885,44.635,0.0,True,33.5,40,0.0415,0.77
google,500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,10,0.3333333333333333,GABUG,5.26,31.19,35,0.561698,80.1209,-19.0983,60.0,300,5.7391,0.9683,45.684,0.0,True,33.0,40,0.041,0.77
google,1500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,3,0.3333333333333333,GABUG,16.49,95.45,39,1.268403,85.2785,-4.8092,61.9333,929,13.6591,2.3488,68.122,0.0,True,35.0,40,0.116,2.02
google,1500,20,linear,False,False,0.0,0.4,0.3,0.3,0,GA_OriginalGA,random,4,0.3333333333333333,GABUG,16.49,95.45,39,1.24778,85.5179,-3.1051,61.8667,928,13.7091,2.3591,68.981,0.0,True,33.5,40,0.1107,2.0
